Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Crack of Doom","Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741584/crack-of-doom,3.9,-1,Trad,5.11c,1,80,42.08282,-113.72147
"Terror of Tiny Town","Buzzard Perch > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741038/terror-of-tiny-town,3.9,-1,Trad,5.11a/b,1,90,42.0778,-113.724
"Beware of Nesting Egos","Elephant Rock - North > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105835842/beware-of-nesting-egos,3.9,-1,Trad,"5.11b PG13",1,90,42.06716,-113.7094
"Strategic Defense","Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105845604/strategic-defense,3.8,-1,Trad,5.11c,1,95,42.08282,-113.72147
"She's the Bosch","Window Rock - West > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105799303/shes-the-bosch,3.8,-1,Sport,5.11c,1,120,42.08533,-113.72273
"Bloody Fingers","Super Hits - Bloody Fingers > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741026/bloody-fingers,3.6,-1,Trad,5.10a,1,100,42.08728,-113.72925
"Tribal Boundaries","Flaming Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741602/tribal-boundaries,3.6,-1,"Sport, TR",5.10a/b,1,60,42.07673,-113.7137
"Shaken Not Stirred","Martini Sector > The Discovery Wall > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/108220733/shaken-not-stirred,3.7,-1,Sport,5.12a,1,70,43.72721,-113.08171
"Rye Crisp","Elephant Rock - East > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740981/rye-crisp,3.6,-1,Trad,5.8,1,120,42.06739,-113.70894
Skyline,"Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740963/skyline,3.6,-1,Trad,5.8,1,100,42.08282,-113.72147
"Mountaineer's Route","The Elephant's Perch > The Sawtooth Range > Central Idaho > Idaho",https://www.mountainproject.com/route/105996469/mountaineers-route,3.5,-1,"Trad, Alpine",5.9,7,,44.06858,-114.97445
"Open Book","Finger of Fate > The Sawtooth Range > Central Idaho > Idaho",https://www.mountainproject.com/route/106531483/open-book,3.7,-1,"Trad, Alpine",5.8,5,800,44.0262,-114.96179
"Thin Slice","Parking Lot Rock - Northeast > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741581/thin-slice,3.6,-1,Trad,5.10a,1,100,42.08386,-113.72246
"The Drilling Fields","The Drilling Fields > Drilling Fields > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105846013/the-drilling-fields,3.6,-1,Sport,5.11a,1,100,42.08183,-113.71814
Redtail,"Rabbit Rock - Southwest > Rabbit Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742076/redtail,3.6,-1,Sport,5.11a,1,150,42.08358,-113.72075
Colossus,"Bath Rock - West > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741866/colossus,3.5,-1,Sport,5.10c,1,80,42.07578,-113.7227
"Animal Cracker","Animal Cracker Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741521/animal-cracker,3.5,-1,Trad,5.10a,2,200,42.08716,-113.72271
Batwings,"Parking Lot Rock - West > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740951/batwings,3.5,-1,Trad,5.8+,1,180,42.08342,-113.72294
Gemini,"Bath Rock - West > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105845597/gemini,3.5,-1,Sport,5.12a,1,65,42.07578,-113.7227
"Red Rib","Hostess Gully - West Corridor > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105811870/red-rib,3.5,-1,Sport,5.10a,1,195,42.12433,-113.67199
"Yellow Man","Martini Sector > The Discovery Wall > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/108134263/yellow-man,3.5,-1,Sport,5.11a,1,70,43.72721,-113.08171
"Too Much Fun","Bumblie Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105742073/too-much-fun,3.4,-1,Sport,5.8,1,150,42.07848,-113.7135
Martini,"Martini Sector > The Discovery Wall > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/108134332/martini,3.5,-1,Sport,5.12a,1,75,43.72721,-113.08171
