Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Wild at Heart","I. Railroad Rock > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106447069/wild-at-heart,3.8,-1,Sport,5.11a,1,,37.50881,-88.69216
"Detox Mountain","C. Cranial/Detox Wall > C. Hidden Peaks > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106062086/detox-mountain,3.9,-1,Sport,5.12a,1,50,37.50205,-88.68514
"Hidden Treasures","D. Lovely Tower > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106125028/hidden-treasures,3.6,-1,Sport,5.12a,1,40,37.50635,-88.6831
"Cheerio Bowl","D. Pricker Peak > C. Hidden Peaks > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106061463/cheerio-bowl,3.6,-1,Sport,5.10a,1,50,37.50212,-88.68582
"Group Therapy","A. The Gallery > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106357480/group-therapy,3.6,-1,Sport,5.10c,1,60,37.50699,-88.68508
"Lovely Arete","D. Lovely Tower > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106032481/lovely-arete,3.6,-1,Sport,5.11a,1,35,37.50635,-88.6831
Venom,"A. Mr. Jimmy > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106069022/venom,3.5,-1,Sport,5.10a,1,,37.50459,-88.68908
"Stubborn Swede","E.  The Monument > C. Hidden Peaks > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/107016678/stubborn-swede,3.2,-1,Sport,5.8,1,60,37.50228,-88.68611
"Spiders From Mars","A. Mr. Jimmy > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106278204/spiders-from-mars,3.2,-1,Sport,5.10b,1,,37.50459,-88.68908
"Earthbound Misfit","A. The Gallery > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106357485/earthbound-misfit,3.2,-1,Sport,5.10a,1,55,37.50699,-88.68508
"Fine Nine","D. Lovely Tower > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106039565/fine-nine,3.1,-1,Sport,5.9,1,55,37.50635,-88.6831
"Who Let the Snakes Out","B. Snakes Roof > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106679441/who-let-the-snakes-out,3.3,-1,Sport,5.10b,1,,37.506,-88.68261
"Deetle Dumps","A. Royal Arches Wall > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106243152/deetle-dumps,3.0,-1,Sport,5.8,1,,37.5056,-88.68207
Chimichonga,"B. E.M.J. Wall > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106964850/chimichonga,3.0,-1,Sport,5.8+,1,,37.50467,-88.68928
"Luscious Babes","B. E.M.J. Wall > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106964844/luscious-babes,2.9,-1,Sport,5.8-,1,,37.50467,-88.68928
"Master Marley","E. Spleef Peak > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106179174/master-marley,2.9,-1,Sport,5.10a,1,40,37.50701,-88.68336
"Groovy Marcia!","I. The Ranch > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106061431/groovy-marcia,3.4,-1,Sport,5.9,1,45,37.49992,-88.68726
"The Monument","E.  The Monument > C. Hidden Peaks > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106085680/the-monument,2.8,-1,Sport,5.9,1,50,37.50228,-88.68611
"Everybody Needs Friends","D. Beaver Wall > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106130209/everybody-needs-friends,3.4,-1,Sport,5.12a,1,35,37.50489,-88.68967
"Through the Smoke","E. Spleef Peak > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106197789/through-the-smoke,2.6,-1,Sport,5.9,1,40,37.50701,-88.68336
"Blue Spark","E. Spleef Peak > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106197796/blue-spark,2.6,-1,Sport,5.8,1,40,37.50701,-88.68336
"Flingin Hog","D. Beaver Wall > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106130238/flingin-hog,3.0,-1,Sport,5.10d,1,45,37.50489,-88.68967
"The Garden Route","E. Spleef Peak > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106243131/the-garden-route,2.5,-1,Sport,5.10a,1,,37.50701,-88.68336
"Blue Velvet","I. Railroad Rock > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106236726/blue-velvet,3.9,-1,Sport,5.11c,1,,37.50881,-88.69216
"Express Checkout Line","E. Big Star Wall > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106278224/express-checkout-line,3.3,-1,Sport,5.9,1,,37.50611,-88.69029
Psychotherapy,"A. The Gallery > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106456688/psychotherapy,2.7,-1,Sport,5.10b,1,,37.50699,-88.68508
"The Dagger","D. Battle Axe Tower > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/108355008/the-dagger,2.8,-1,Sport,"5.8 PG13",1,40,37.50648,-88.68633
"Mod Squad","D. Beaver Wall > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106931588/mod-squad,2.5,-1,Sport,5.8-,1,65,37.50489,-88.68967
"The Reckoning","D. Battle Axe Tower > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106814134/the-reckoning,4.0,-1,Sport,5.12a,1,,37.50648,-88.68633
"The Meanest Flower","A. Royal Arches Wall > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106243213/the-meanest-flower,2.9,-1,Sport,5.9,1,,37.5056,-88.68207
Rattler,"E. Spleef Peak > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106243135/rattler,2.7,-1,Sport,5.10a,1,,37.50701,-88.68336
"Captain Crunch","D. Pricker Peak > C. Hidden Peaks > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106061468/captain-crunch,3.1,-1,Sport,5.11a/b,1,55,37.50212,-88.68582
"Into the Sun (Aka Fragile Egos)","I. Railroad Rock > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106061363/into-the-sun-aka-fragile-egos,3.5,-1,Sport,5.10d,1,60,37.50881,-88.69216
"Who Needs Friends","D. Beaver Wall > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106109274/who-needs-friends,3.4,-1,Trad,5.12a,1,50,37.50489,-88.68967
Electrocutioner,"I. Railroad Rock > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106963563/electrocutioner,2.7,-1,Sport,5.8+,1,50,37.50881,-88.69216
"Lasso the Vulture","I. The Ranch > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106061418/lasso-the-vulture,3.7,-1,Sport,5.11a,1,45,37.49992,-88.68726
Archangel,"A. Royal Arches Wall > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106243179/archangel,3.2,-1,Sport,5.10a,1,,37.5056,-88.68207
"Cro-Magnon Warrior","F. The Doors > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/108439315/cro-magnon-warrior,4.0,-1,Sport,5.12b,1,,37.50707,-88.68273
"Viking Blood","D. Battle Axe Tower > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106814156/viking-blood,4.0,-1,Sport,5.12c,1,,37.50648,-88.68633
"Ego Tripping","I. Railroad Rock > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106931729/ego-tripping,2.9,-1,Sport,5.10b,1,65,37.50881,-88.69216
"The Farmer","C. Cranial/Detox Wall > C. Hidden Peaks > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106161663/the-farmer,3.3,-1,Sport,5.12a,1,70,37.50205,-88.68514
"Chit Chat","E. Big Star Wall > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106656017/chit-chat,3.1,-1,Trad,5.8,1,,37.50611,-88.69029
"Cut Throat","A. The Gallery > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106357495/cut-throat,2.6,-1,Sport,5.10b,1,55,37.50699,-88.68508
"The Carpenter","C. Cranial/Detox Wall > C. Hidden Peaks > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/108338129/the-carpenter,3.1,-1,Sport,5.11a,1,60,37.50205,-88.68514
"Here Come the Snakes","B. Snakes Roof > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106679436/here-come-the-snakes,3.8,-1,Sport,5.12c,1,,37.506,-88.68261
"Tons of Fun","E. Exam Wall > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106814174/tons-of-fun,3.1,-1,"Trad, Sport",5.10c,1,,37.50668,-88.68637
Alaska,"E. Big Star Wall > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106278229/alaska,3.4,-1,Sport,5.10b,1,,37.50611,-88.69029
Energizer,"B. Black Sheep Boulder > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/108438317/energizer,3.8,-1,Sport,5.12a,1,,37.5065,-88.6857
"Ant Killer","The Woodland Ledge > Draper's Bluff > Illinois",https://www.mountainproject.com/route/105911918/ant-killer,3.7,-1,Trad,5.9,2,100,37.51501,-89.04276
"Generator X","F. The Promised Land > *Jackson Falls > Illinois",https://www.mountainproject.com/route/107702536/generator-x,3.4,-1,Sport,5.11b,1,,37.49884,-88.69384
"Naked Blade","E.  The Monument > C. Hidden Peaks > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106062101/naked-blade,3.4,-1,"Trad, Sport",5.11a,1,50,37.50228,-88.68611
"Three Hour Tour","H. The SS Minnow > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/108112094/three-hour-tour,3.2,-1,Sport,5.10b,1,50,37.50031,-88.68783
"The Bolted One","E. Exam Wall > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106814148/the-bolted-one,3.5,-1,"Trad, Sport","5.11d R",1,,37.50668,-88.68637
"Emperor of the North","F. Dynasty Wall > B. West Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/107941944/emperor-of-the-north,4.0,-1,Sport,5.13a,1,70,37.50565,-88.6865
"The Tallest Man","A: Lily Wall > Pere Marquette State Park > Illinois",https://www.mountainproject.com/route/112275195/the-tallest-man,3.3,-1,Sport,5.10a,1,,38.97108,-90.48738
"Butcher of Baghdad","J. Railroad Rock Cliffline > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106061387/butcher-of-baghdad,3.9,-1,Sport,5.13a,1,50,37.50907,-88.69198
"Fat and Sassy","C. Rainy Day Roof > D. East Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/107886770/fat-and-sassy,2.6,-1,Sport,5.9,1,25,37.50489,-88.68352
"Lost Innocence","D. Lovely Tower > C. North Falls > *Jackson Falls > Illinois",https://www.mountainproject.com/route/107886749/lost-innocence,3.6,-1,Sport,5.12c,1,35,37.50635,-88.6831
Skipper,"H. The SS Minnow > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/111193706/skipper,3.4,-1,Sport,5.10a,1,,37.50031,-88.68783
"Automatic Damnation","A. Industry Wall > E. South Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/113599577/automatic-damnation,3.8,-1,Sport,5.11c,1,50,37.50408,-88.68457
"Fashionably Late","F. The Promised Land > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106920447/fashionably-late,3.5,-1,Sport,5.11a,1,60,37.49884,-88.69384
