Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Flash,"Comic Gallery > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087618/flash,3.7,-1,Sport,5.11b,1,50,42.21069,-91.10186
"Over The Counter","Shiprock > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087965/over-the-counter,2.8,-1,Sport,"5.9 PG13",1,75,42.21218,-91.10261
"Hope for a Boner","A Wall > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087242/hope-for-a-boner,2.7,-1,Sport,5.10a,1,40,42.21089,-91.10204
"Bird in Hand","Wild Iowa Wall > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087180/bird-in-hand,3.2,-1,Sport,5.11b,1,30,42.20952,-91.10185
Jugular,"Mild Iowa Wall > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087230/jugular,2.3,-1,Sport,5.8,1,40,42.2102,-91.10196
Schoolio,"Ice Cave Wall > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087935/schoolio,2.4,-1,Sport,5.9,1,40,42.21159,-91.10246
"Three Strikes No Balls","Comic Gallery > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087912/three-strikes-no-balls,3.0,-1,"Sport, TR",5.10a,1,40,42.21069,-91.10186
"Mild Iowa","Mild Iowa Wall > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087226/mild-iowa,2.2,-1,Sport,5.8,1,40,42.2102,-91.10196
"Liberal Tendencies","Hoot Bluff > Ozark Wildlife Area > Iowa",https://www.mountainproject.com/route/106271155/liberal-tendencies,3.5,-1,Sport,5.11a,1,30,42.1989,-90.8615
"Silk Road","Shiprock > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087960/silk-road,2.6,-1,Sport,5.10b,1,70,42.21218,-91.10261
"Virgin Lemonade","Wild Iowa Wall > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087040/virgin-lemonade,2.7,-1,Sport,5.10a,1,30,42.20952,-91.10185
"Whipper Snapper","Mild Iowa Wall > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087222/whipper-snapper,2.0,-1,Sport,5.8,1,40,42.2102,-91.10196
"Tazmanian Devil","Comic Gallery > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087601/tazmanian-devil,2.5,-1,Sport,5.10d,1,30,42.21069,-91.10186
"C N Red","Mother Wall > Indian Bluffs > Iowa",https://www.mountainproject.com/route/106934851/c-n-red,3.7,-1,Sport,5.11c,1,85,42.2205,-91.0715
"Gravity Amp","Hoot Bluff > Ozark Wildlife Area > Iowa",https://www.mountainproject.com/route/106271167/gravity-amp,3.5,-1,Sport,5.12a,1,30,42.1989,-90.8615
"Jimmy Edge","T-Wall > Pictured Rocks > Iowa",https://www.mountainproject.com/route/113711237/jimmy-edge,4.0,-1,Sport,"5.12c PG13",1,30,42.2079,-91.10334
Transparent,"T-Wall > Pictured Rocks > Iowa",https://www.mountainproject.com/route/118092087/transparent,4.0,-1,Sport,5.12b/c,1,30,42.2079,-91.10334
