Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Ginseng Route","Shagg Crag > Maine",https://www.mountainproject.com/route/106075920/ginseng-route,3.9,-1,Sport,5.12b,1,,44.4237,-70.5309
"The Great Escape","Shagg Crag > Maine",https://www.mountainproject.com/route/106076035/the-great-escape,3.6,-1,Sport,5.10b/c,1,,44.4237,-70.5309
"Adair by the Sea","Otter Cliffs > Acadia National Park > Maine",https://www.mountainproject.com/route/106112441/adair-by-the-sea,3.6,-1,"Trad, TR","5.10b/c PG13",1,60,44.31194,-68.18919
"Shaggin Wagon","Shagg Crag > Maine",https://www.mountainproject.com/route/106075929/shaggin-wagon,3.4,-1,Sport,5.12a/b,1,,44.4237,-70.5309
"Bartleby -(Central Slab)","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/106489240/bartleby-central-slab,3.4,-1,Trad,5.8,1,60,44.34691,-68.19013
"Connecticut Cracks","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/105998188/connecticut-cracks,3.2,-1,Trad,5.11a,1,70,44.34691,-68.19013
"Recollections of Pacifica -(Central Slab)","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/106035181/recollections-of-pacifica-central-slab,3.2,-1,Trad,5.9,1,50,44.34691,-68.19013
"Return to Forever  - (mid-cliff START)","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/105998473/return-to-forever-mid-cliff-start,3.5,-1,Trad,5.9,1,95,44.34691,-68.19013
Guillotine,"Otter Cliffs > Acadia National Park > Maine",https://www.mountainproject.com/route/106867373/guillotine,3.4,-1,"Trad, TR",5.10a/b,1,40,44.31194,-68.18919
"Chitlin's Corner","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/106034988/chitlins-corner,3.3,-1,Trad,5.10a,1,170,44.34691,-68.19013
"Rock Lobster","Otter Cliffs > Acadia National Park > Maine",https://www.mountainproject.com/route/106112856/rock-lobster,3.0,-1,TR,5.9,1,60,44.31194,-68.18919
Meltdown,"Shagg Crag > Maine",https://www.mountainproject.com/route/106075960/meltdown,3.8,-1,Sport,5.12c,1,,44.4237,-70.5309
"Shagg It","Shagg Crag > Maine",https://www.mountainproject.com/route/106301998/shagg-it,4.0,-1,Sport,5.12d,1,90,44.4237,-70.5309
"Green Mt. Breakdown","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/106616203/green-mt-breakdown,3.7,-1,Trad,5.9+,2,200,44.34691,-68.19013
"Yellow Wall","Otter Cliffs > Acadia National Park > Maine",https://www.mountainproject.com/route/106824332/yellow-wall,2.8,-1,"Trad, TR",5.8,1,50,44.31194,-68.18919
"Chicken of the Sea","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/106813156/chicken-of-the-sea,3.2,-1,Trad,5.9,1,60,44.34691,-68.19013
"Peak Performance","Otter Cliffs > Acadia National Park > Maine",https://www.mountainproject.com/route/106112846/peak-performance,2.9,-1,"Trad, TR",5.10a/b,1,60,44.31194,-68.18919
"Wonder Wall","Otter Cliffs > Acadia National Park > Maine",https://www.mountainproject.com/route/106034980/wonder-wall,2.7,-1,TR,5.9,1,50,44.31194,-68.18919
"Morning Glory","Morning Glory Alcove > Great Head > Acadia National Park > Maine",https://www.mountainproject.com/route/106116481/morning-glory,3.6,-1,Trad,5.8+,1,80,44.32751,-68.17491
"Emigrant Crack  - (mid-cliff START)","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/105998460/emigrant-crack-mid-cliff-start,3.3,-1,Trad,5.10b,1,85,44.34691,-68.19013
"Two Shaved Heads","Shagg Crag > Maine",https://www.mountainproject.com/route/106076029/two-shaved-heads,2.9,-1,Sport,5.12a,1,,44.4237,-70.5309
"Fingers in a Seascape  (mid-cliff START)","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/106813149/fingers-in-a-seascape-mid-cliff-start,2.5,-1,Sport,5.10c,1,40,44.34691,-68.19013
"Birch Ade   - (mid-cliff START)","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/107168843/birch-ade-mid-cliff-start,3.3,-1,Trad,5.9,1,80,44.34691,-68.19013
"Short Bob","Shagg Crag > Maine",https://www.mountainproject.com/route/107111907/short-bob,3.2,-1,Sport,5.12a,1,50,44.4237,-70.5309
"Short Shagg","Shagg Crag > Maine",https://www.mountainproject.com/route/106076046/short-shagg,2.1,-1,Sport,5.9,1,,44.4237,-70.5309
Wheaties,"Eagle Bluff > Clifton Crags > Maine",https://www.mountainproject.com/route/106411368/wheaties,3.4,-1,Sport,5.10a,1,100,44.79328,-68.49641
"Head Arete","Left wall > Great Head > Acadia National Park > Maine",https://www.mountainproject.com/route/106301266/head-arete,3.7,-1,Trad,"5.10+ PG13",1,100,44.3266,-68.17643
"Fear of Flying","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/107247470/fear-of-flying,3.6,-1,Trad,5.10,1,150,44.34691,-68.19013
"Captain Dinghy","High Meadow Wall > Shell Pond > a. Western Mountains > Maine",https://www.mountainproject.com/route/109232008/captain-dinghy,3.3,-1,Sport,5.10a,1,100,44.24944,-70.96504
"The Eagle's Gift","Eagle Bluff > Clifton Crags > Maine",https://www.mountainproject.com/route/106417285/the-eagles-gift,3.8,-1,Sport,5.9+,1,90,44.79328,-68.49641
Highlander,"Eagle Bluff > Clifton Crags > Maine",https://www.mountainproject.com/route/106272030/highlander,3.4,-1,Sport,5.10b,2,165,44.79328,-68.49641
"Looney Tunes","Shagg Crag > Maine",https://www.mountainproject.com/route/106193544/looney-tunes,3.1,-1,Sport,5.12c,1,60,44.4237,-70.5309
"Pipe Dreams","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/106177664/pipe-dreams,3.5,-1,Trad,5.12b,1,60,44.34691,-68.19013
"What About Bobcat","Shagg Crag > Maine",https://www.mountainproject.com/route/107101552/what-about-bobcat,3.5,-1,Sport,5.12d,1,70,44.4237,-70.5309
"It Ain't Pretty Being Easy","Shagg Crag > Maine",https://www.mountainproject.com/route/106075972/it-aint-pretty-being-easy,2.6,-1,Sport,5.12a,1,,44.4237,-70.5309
"Eagle Direct","Eagle Bluff > Clifton Crags > Maine",https://www.mountainproject.com/route/106269562/eagle-direct,3.6,-1,Trad,5.11a,1,50,44.79328,-68.49641
"What About Bob?","Shagg Crag > Maine",https://www.mountainproject.com/route/106616771/what-about-bob,4.0,-1,Sport,5.13a,1,65,44.4237,-70.5309
"London Bridges","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/106489245/london-bridges,2.6,-1,Trad,5.8,1,70,44.34691,-68.19013
"The Wet Lithuanian","The Precipice aka The South Wall > Acadia National Park > Maine",https://www.mountainproject.com/route/109168145/the-wet-lithuanian,3.9,-1,Trad,5.10b,1,50,44.34691,-68.19013
Flatiron,"Chimney Pond (""South"") Basin - Summer Rock Routes > Katahdin > j. The Maine Highlands (inc. BSP) > Maine",https://www.mountainproject.com/route/110891519/flatiron,3.6,-1,Trad,5.8,2,,45.91441,-68.91154
"Brown Crack","Military Wall > Ten Degree Wall > a. Western Mountains > Maine",https://www.mountainproject.com/route/112283846/brown-crack,4.0,-1,Trad,5.10d,1,60,44.78894,-70.70124
