Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Black Crack","The South End > Annapolis Rock > Maryland",https://www.mountainproject.com/route/106777915/black-crack,3.4,-1,Trad,5.9+,1,80,39.55738,-77.59861
"Strawberry Jam","Pinnacle > Rocks State Park > Maryland",https://www.mountainproject.com/route/106061175/strawberry-jam,3.2,-1,Trad,5.8+,1,60,39.6358,-76.412
"Hard Up Direct","Sign Wall > Maryland Heights, MD > Harper's Ferry > Maryland",https://www.mountainproject.com/route/107720049/hard-up-direct,3.0,-1,Trad,5.8,3,170,39.3247,-77.7258
"Breakaway left","Breakaway Wall > Rocks State Park > Maryland",https://www.mountainproject.com/route/106331929/breakaway-left,2.9,-1,Trad,5.9,1,80,39.63519,-76.41276
"Breakaway Right","Breakaway Wall > Rocks State Park > Maryland",https://www.mountainproject.com/route/106331935/breakaway-right,3.0,-1,Trad,5.9,1,80,39.63519,-76.41276
"Herbie's Horror","Outlook Rocks > Carderock > Maryland",https://www.mountainproject.com/route/106691071/herbies-horror,2.8,-1,TR,5.9,1,25,38.97605,-77.20651
"Triple A","Outlook Rocks > Carderock > Maryland",https://www.mountainproject.com/route/107149709/triple-a,2.8,-1,TR,5.8,1,40,38.97605,-77.20651
"Rags to Riches","Skink Rock > Harper's Ferry > Maryland",https://www.mountainproject.com/route/107911500/rags-to-riches,3.4,-1,"Trad, TR",5.9,1,33,39.3262,-77.7251
"Killer Bee Sting","Bee Sting Wall > Locust Grove > Maryland",https://www.mountainproject.com/route/109704245/killer-bee-sting,3.8,-1,Trad,5.8,1,75,39.67139,-78.78876
"Black Tie Affair","Train Tunnel Wall > Maryland Heights, MD > Harper's Ferry > Maryland",https://www.mountainproject.com/route/107772893/black-tie-affair,4.0,-1,Trad,5.12,2,170,39.3242,-77.7256
"Do What!","Woodstock Rock > Patapsco State Park > Maryland",https://www.mountainproject.com/route/108192463/do-what,4.0,-1,"Trad, TR","5.10c R",1,,39.3313,-76.8728
"Rendezvous With Rama","Cumber Honey Wall > The Narrows aka Lover's Leap > Maryland",https://www.mountainproject.com/route/116074921/rendezvous-with-rama,4.0,-1,Trad,5.8,3,190,39.6645,-78.7785
Fifi,"Outlook Rocks > Carderock > Maryland",https://www.mountainproject.com/route/110693550/fifi,4.0,-1,"Trad, TR",5.10b,1,50,38.97605,-77.20651
"Soaring Transport","Highlands > Harper's Ferry > Maryland",https://www.mountainproject.com/route/113747507/soaring-transport,4.0,-1,TR,5.9,1,22,39.32602,-77.7205
"Rama II","Cumber Honey Wall > The Narrows aka Lover's Leap > Maryland",https://www.mountainproject.com/route/116074889/rama-ii,4.0,-1,Trad,5.9,3,180,39.6645,-78.7785
"I Wanna Live","Cumber Honey Wall > The Narrows aka Lover's Leap > Maryland",https://www.mountainproject.com/route/116074774/i-wanna-live,4.0,-1,Trad,5.10+,3,180,39.6645,-78.7785
"Battle Face","Loudon Heights (main cliff) > Loudon Heights > Harper's Ferry > Maryland",https://www.mountainproject.com/route/115792589/battle-face,4.0,-1,Trad,"5.10 PG13",1,60,39.32065,-77.72052
"Slim Pickins","Jim Pick Wall > The Narrows aka Lover's Leap > Maryland",https://www.mountainproject.com/route/116078584/slim-pickins,4.0,-1,Trad,5.10,1,180,39.6641,-78.77868
"Back Door Man","Vaso Island, North Face > Vaso Island > Maryland",https://www.mountainproject.com/route/112809882/back-door-man,4.0,-1,Trad,5.10a,1,50,38.97502,-77.20803
"The Howling Direct","Howling Wall > The Narrows aka Lover's Leap > Maryland",https://www.mountainproject.com/route/116079604/the-howling-direct,4.0,-1,Trad,5.9-,1,100,39.6639,-78.77867
"Jim Pick","Jim Pick Wall > The Narrows aka Lover's Leap > Maryland",https://www.mountainproject.com/route/116078467/jim-pick,4.0,-1,Trad,5.8,1,160,39.6641,-78.77868
"I Guess, I Just Don’t Know","Vaso Island, North Face > Vaso Island > Maryland",https://www.mountainproject.com/route/112809892/i-guess-i-just-dont-know,4.0,-1,"Trad, TR",5.12,1,60,38.97502,-77.20803
"The AAU Crack","Spitzbergen > Great Falls - Maryland Side > Maryland",https://www.mountainproject.com/route/109583162/the-aau-crack,4.0,-1,"Trad, TR",5.10+,1,50,38.982,-77.227
"Post Doctorate","Sherwin Island, Cupids Bower > Great Falls - Maryland Side > Maryland",https://www.mountainproject.com/route/112109709/post-doctorate,4.0,-1,"Trad, TR",5.11b,1,30,38.98169,-77.23187
"Friction Dome","Upriver Side of the Main Cliffs > Main Cliffs > Camp Lewis / Lewis Rocks > Maryland",https://www.mountainproject.com/route/110673850/friction-dome,4.0,-1,"Trad, TR","5.10b/c PG13",1,30,38.9698,-77.1835
"Ph.D. (Coffin Climb)","Cupids Bower > Great Falls - Maryland Side > Maryland",https://www.mountainproject.com/route/109594482/phd-coffin-climb,4.0,-1,"Trad, TR",5.9,1,40,38.98119,-77.23049
"Schaefer's Aching Back","Upriver Side of the Main Cliffs > Main Cliffs > Camp Lewis / Lewis Rocks > Maryland",https://www.mountainproject.com/route/110673868/schaefers-aching-back,4.0,-1,"Trad, TR",5.11b/c,1,40,38.9698,-77.1835
