Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Intertwine,"5. Main Face > Crow Hill > Leominster Area > Massachusetts",https://www.mountainproject.com/route/105905517/intertwine,3.2,-1,"Trad, TR",5.8,1,45,42.51937,-71.85904
"Double Helix (aka Rikert's Corner)","Rose Ledge > Massachusetts",https://www.mountainproject.com/route/105805595/double-helix-aka-rikerts-corner,3.4,-1,"Trad, TR",5.9,1,40,42.6105,-72.4711
"Guillotine (aka Double Overhead Cam)","Rose Ledge > Massachusetts",https://www.mountainproject.com/route/105805587/guillotine-aka-double-overhead-cam,3.0,-1,"Trad, TR",5.8,1,40,42.6105,-72.4711
Cro-Magnon,"3. Fisherman's Wall > Crow Hill > Leominster Area > Massachusetts",https://www.mountainproject.com/route/106126391/cro-magnon,3.6,-1,"Trad, TR",5.10,1,50,42.51922,-71.85935
Tennessee,"Rose Ledge > Massachusetts",https://www.mountainproject.com/route/105805574/tennessee,3.3,-1,"Trad, TR",5.10-,1,40,42.6105,-72.4711
"Outside Corner","K Wall (aka M Face) > Quincy Quarries > Massachusetts",https://www.mountainproject.com/route/105909380/outside-corner,2.6,-1,"Trad, TR",5.8,1,50,42.2445,-71.0353
Priapism,"Mormon Hollow > Massachusetts",https://www.mountainproject.com/route/107085591/priapism,3.7,-1,Sport,5.12a,1,40,42.5692,-72.4608
Tarzan,"3. Fisherman's Wall > Crow Hill > Leominster Area > Massachusetts",https://www.mountainproject.com/route/106225509/tarzan,2.8,-1,Trad,5.8+,1,60,42.51922,-71.85935
"Lunge Roof (aka Rhino Dyno, or Gunks Roof)","Rose Ledge > Massachusetts",https://www.mountainproject.com/route/106155495/lunge-roof-aka-rhino-dyno-or-gunks-roof,3.2,-1,"Trad, TR",5.10-,1,40,42.6105,-72.4711
"Thin Line","5. Main Face > Crow Hill > Leominster Area > Massachusetts",https://www.mountainproject.com/route/107651747/thin-line,3.2,-1,Trad,"5.9- PG13",1,50,42.51937,-71.85904
Jane,"3. Fisherman's Wall > Crow Hill > Leominster Area > Massachusetts",https://www.mountainproject.com/route/106128569/jane,3.5,-1,"Trad, TR","5.11a PG13",1,100,42.51922,-71.85935
Pins,"K Wall (aka M Face) > Quincy Quarries > Massachusetts",https://www.mountainproject.com/route/105909388/pins,2.6,-1,"Trad, TR",5.9,1,50,42.2445,-71.0353
Diagonal,"3. Fisherman's Wall > Crow Hill > Leominster Area > Massachusetts",https://www.mountainproject.com/route/106174844/diagonal,2.6,-1,Trad,5.8+,1,35,42.51922,-71.85935
"Morning Glory","Redrock and vicinity > Massachusetts",https://www.mountainproject.com/route/106297036/morning-glory,2.8,-1,Sport,5.9+,1,,42.6168,-70.7276
Steps,"Redrock and vicinity > Massachusetts",https://www.mountainproject.com/route/106119852/steps,2.3,-1,Trad,5.8,1,50,42.6168,-70.7276
"Original Sin","Mormon Hollow > Massachusetts",https://www.mountainproject.com/route/106397993/original-sin,3.0,-1,Trad,5.10a,1,50,42.5692,-72.4608
"Hepatitis (originally submitted & previously published as Hepatitus)","Pusherman Wall > Temple Area > Hammond Pond > Massachusetts",https://www.mountainproject.com/route/106848189/hepatitis-originally-submitted-previously-published-as-hepatitus,3.6,-1,"TR, Boulder","5.12 V5",1,15,42.32665,-71.17776
"Tensile Strength","K Wall (aka M Face) > Quincy Quarries > Massachusetts",https://www.mountainproject.com/route/105909396/tensile-strength,2.6,-1,TR,5.9+,1,50,42.2445,-71.0353
"My Mind Is A Blank","Main Crag > College Rock > Massachusetts",https://www.mountainproject.com/route/106209165/my-mind-is-a-blank,3.5,-1,"Trad, TR",5.11+,1,25,42.1945,-71.4998
Zits,"Redrock and vicinity > Massachusetts",https://www.mountainproject.com/route/106297031/zits,2.4,-1,Sport,"5.8+ PG13",1,,42.6168,-70.7276
"X Marks the Spot","B Pond Cliff > Ridge Boulders > Greater Lynn Woods Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/112232877/x-marks-the-spot,4.0,-1,"Trad, TR, Boulder","5.11b V2-3 PG13",1,20,42.50959,-70.96657
Lion-O,"Thunder Cat Wall > Tower Boulders > Sector Two > The Promised Land > Greater Lynn Woods Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/115326522/lion-o,4.0,-1,"TR, Boulder","5.12 V5-6",1,20,42.50321,-70.9637
"Old MacDonald","Vagabond Wall > Vagabond Boulders > Sector One > The Promised Land > Greater Lynn Woods Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/113628863/old-macdonald,4.0,-1,"TR, Boulder","5.10b V2",1,20,42.52194,-71.00747
Snarf,"Thunder Cat Wall > Tower Boulders > Sector Two > The Promised Land > Greater Lynn Woods Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/112457069/snarf,4.0,-1,"TR, Boulder","5.11- V3",1,25,42.50321,-70.9637
"Optimus Prime","Substation Bluff > Hawkes Pond Woods > Greater Lynn Woods Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/114271724/optimus-prime,4.0,-1,"TR, Boulder","5.11d V4",1,22,42.50766,-71.01537
"Back Door Man","Burger Boulder > Rattlesnake Rocks > Massachusetts",https://www.mountainproject.com/route/108102526/back-door-man,4.0,-1,"Trad, TR",5.11-,1,25,42.23205,-71.03868
"Rise Above the Rainbow (aka Vertical Rainbow Crack)","B Pond Cliff > Ridge Boulders > Greater Lynn Woods Area > Lynn Woods > Massachusetts",https://www.mountainproject.com/route/112156777/rise-above-the-rainbow-aka-vertical-rainbow-crack,4.0,-1,Trad,5.10+,1,30,42.50959,-70.96657
"Pendulum (aka Ben's Boot)","Rose Ledge > Massachusetts",https://www.mountainproject.com/route/105805598/pendulum-aka-bens-boot,3.4,-1,"Trad, TR",5.8,1,40,42.6105,-72.4711
"Ladder Line","J Wall (aka L Face) > Quincy Quarries > Massachusetts",https://www.mountainproject.com/route/106202948/ladder-line,3.2,-1,TR,5.11a,1,50,42.24444,-71.03543
"Tunnel Vision","Mormon Hollow > Massachusetts",https://www.mountainproject.com/route/111156381/tunnel-vision,3.6,-1,Sport,5.12d,1,30,42.5692,-72.4608
"Widowmaker (aka Leave it to Beaver)","Rose Ledge > Massachusetts",https://www.mountainproject.com/route/105805591/widowmaker-aka-leave-it-to-beaver,2.8,-1,"Trad, TR",5.10+,1,40,42.6105,-72.4711
Cheetah,"3. Fisherman's Wall > Crow Hill > Leominster Area > Massachusetts",https://www.mountainproject.com/route/107901660/cheetah,3.4,-1,"Trad, TR",5.10,1,75,42.51922,-71.85935
"Marie Antoinette","Rose Ledge > Massachusetts",https://www.mountainproject.com/route/106129707/marie-antoinette,2.8,-1,TR,5.10a/b,1,50,42.6105,-72.4711
"Cardiac Arete (aka route  8)","Mormon Hollow > Massachusetts",https://www.mountainproject.com/route/111416600/cardiac-arete-aka-route-8,2.5,-1,Sport,5.10c,1,40,42.5692,-72.4608
"The Power of Positive Thinking","K Wall (aka M Face) > Quincy Quarries > Massachusetts",https://www.mountainproject.com/route/106084986/the-power-of-positive-thinking,2.7,-1,"Trad, TR","5.10+ PG13",1,65,42.2445,-71.0353
"Dangles Crack","Sunshine Wall > Cape Ann > Massachusetts",https://www.mountainproject.com/route/107450278/dangles-crack,3.6,-1,"Trad, TR",5.10+,1,20,42.6147,-70.7311
"Fool on a Hill","4. The Buttress > Crow Hill > Leominster Area > Massachusetts",https://www.mountainproject.com/route/107364083/fool-on-a-hill,2.4,-1,"Trad, Sport",5.9,1,40,42.5193,-71.8591
"Fun Crack (aka Fist Fight)","Rose Ledge > Massachusetts",https://www.mountainproject.com/route/105982584/fun-crack-aka-fist-fight,2.8,-1,"Trad, TR",5.8-,1,20,42.6105,-72.4711
"Under the Big Top","H Wall (aka J Face) > Quincy Quarries > Massachusetts",https://www.mountainproject.com/route/107068775/under-the-big-top,3.3,-1,"Trad, TR","5.10 PG13",1,45,42.24453,-71.03603
"One Little Indian","Arrowhead Cliff > Cape Ann > Massachusetts",https://www.mountainproject.com/route/106327861/one-little-indian,3.7,-1,Trad,5.10+,1,35,42.6188,-70.6668
"Hand Crack","House Rock > Massachusetts",https://www.mountainproject.com/route/106698323/hand-crack,3.5,-1,"Trad, TR","5.9- PG13",1,30,42.2144,-70.9456
