Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Time Wave Zero","Timewave Buttress > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106087605/time-wave-zero,3.7,-1,Sport,5.12a,23,2300,25.94811,-100.47814
"El Sendero Diablo (The Devil's Path)","The Outrage Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106175808/el-sendero-diablo-the-devils-path,3.8,-1,Sport,5.11c,6,600,25.94802,-100.47771
"Space Boyz","La Selva (Jungle Wall) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106183204/space-boyz,3.6,-1,Sport,5.10d,11,1000,25.94838,-100.47698
"Pitch Black","The Conundrums > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/108556929/pitch-black,3.7,-1,Sport,5.10+,6,800,25.949,-100.477
"Two Pumped Chump","Mota Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106178074/two-pumped-chump,3.7,-1,Sport,5.11a,2,200,25.94747,-100.4761
"Don Quixote","Lower Virgin > Virgin Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106186161/don-quixote,3.7,-1,Sport,5.11d,1,80,25.95088,-100.47866
Pangea,"Las Agujas (The Spires) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106070371/pangea,3.6,-1,Sport,5.11+,1,80,25.94738,-100.47773
"El Balota","Lower Virgin > Virgin Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106265842/el-balota,3.7,-1,Sport,5.12a,1,110,25.95088,-100.47866
"Snott Girlz","Mota Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106115483/snott-girlz,3.5,-1,Sport,5.10+,7,450,25.94747,-100.4761
"Off The Couch","Zapatista Wall > El Toro (The Front Side) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106729852/off-the-couch,3.6,-1,Sport,5.10d,7,600,25.949,-100.477
"Dead Man Walking","The Dihedrals > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106085470/dead-man-walking,3.5,-1,"Trad, Sport",5.9,1,135,25.949,-100.477
"Treasure of the Sierra Madre","Mota Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/105949507/treasure-of-the-sierra-madre,3.5,-1,Sport,5.10c,7,700,25.94747,-100.4761
"Will the Wolf Survive?","Los Lobos Wall > Los Lobos Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/105906014/will-the-wolf-survive,3.4,-1,Sport,5.10a,4,400,25.94968,-100.47518
"Pancho Villa Rides Again","Mota Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/105939475/pancho-villa-rides-again,3.5,-1,Sport,5.10c,5,500,25.94747,-100.4761
"Yankee Clipper","La Selva (Jungle Wall) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106081566/yankee-clipper,3.4,-1,Sport,5.12a,15,1500,25.94838,-100.47698
"Gringo Disco","Central Scrutinizer > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106183786/gringo-disco,3.5,-1,Sport,5.11b,1,165,25.9492,-100.47628
Satori,"Zapatista Wall > El Toro (The Front Side) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106198915/satori,3.4,-1,Sport,5.10c,7,700,25.949,-100.477
"Mugre Mugre","Lower Virgin > Virgin Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/107050535/mugre-mugre,3.5,-1,Sport,"5.10d PG13",1,90,25.95088,-100.47866
"Onward Through the Fog","Mota Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106178065/onward-through-the-fog,3.4,-1,Sport,5.11c,1,95,25.94747,-100.4761
"Aguja Celo Rey","Las Agujas (The Spires) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/105914177/aguja-celo-rey,3.4,-1,Sport,5.10a,2,200,25.94738,-100.47773
Selam,"Lower Virgin > Virgin Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106333385/selam,3.4,-1,Sport,5.10a,1,130,25.95088,-100.47866
"Mexico in Flames","Lower Virgin > Virgin Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106702431/mexico-in-flames,3.4,-1,Sport,5.11c,2,200,25.95088,-100.47866
Estrellita,"Las Estrellas Main Wall > Las Estrellas Canyon > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/105961980/estrellita,3.2,-1,Sport,5.10+,12,1200,25.95042,-100.47577
"Black Cat Bone","La Selva (Jungle Wall) > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106072905/black-cat-bone,3.2,-1,Sport,5.10d,9,800,25.94838,-100.47698
Motavation,"Mota Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106177974/motavation,3.1,-1,Sport,5.11a,1,100,25.94747,-100.4761
"One Dead Teardrop","Wonder Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106649898/one-dead-teardrop,3.1,-1,Sport,5.9,1,90,25.95004,-100.47694
"Inglorious Bastards","TNT Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/107110717/inglorious-bastards,3.8,-1,Sport,5.12a,1,100,25.949,-100.477
"Monkey Boy","Mota Wall > El Potrero Chico > Nuevo Leon > Northern Mexico > Mexico > North America > International",https://www.mountainproject.com/route/106177957/monkey-boy,3.0,-1,Sport,5.11a,1,100,25.94747,-100.4761
