Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Doug's Roof","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106431685/dougs-roof,3.5,-1,TR,5.10,1,44,42.75784,-84.75339
"10.  Between A Block And A Hard Place","Silver Mountain > Michigan",https://www.mountainproject.com/route/112313722/10-between-a-block-and-a-hard-place,3.7,-1,Sport,5.10b,1,90,46.66633,-88.74034
"Rocket Man","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106398717/rocket-man,3.0,-1,TR,5.10,1,30,42.75784,-84.75339
"25.  Beyond Hell, Above Heaven","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798357/25-beyond-hell-above-heaven,3.9,-1,Sport,5.10b,2,140,46.66633,-88.74034
"The Pinacle","The Pinnacle area > Presque Isle > Marquette > Michigan",https://www.mountainproject.com/route/106427587/the-pinacle,3.4,-1,"Trad, TR",5.10b/c,1,,46.58611,-87.37897
"5. Scrotum","Suicide > Marquette > Michigan",https://www.mountainproject.com/route/106728451/5-scrotum,3.5,-1,Sport,5.10c/d,1,40,46.4895,-87.632
"11.  Dripping With Cooties","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798053/11-dripping-with-cooties,4.0,-1,Sport,5.12b,1,90,46.66633,-88.74034
"Black Buttress","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/107204964/black-buttress,2.7,-1,TR,5.9,1,30,42.75784,-84.75339
"30.  Queen Bee","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798551/30-queen-bee,3.6,-1,Sport,5.10b,1,80,46.66633,-88.74034
Brachiator,"Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/107201200/brachiator,2.6,-1,TR,5.9+,1,30,42.75784,-84.75339
Intimidator,"Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106984484/intimidator,3.5,-1,TR,5.11,1,35,42.75784,-84.75339
"29.  Footloose (aka The Sport Route)","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798533/29-footloose-aka-the-sport-route,3.7,-1,Sport,5.11d,1,80,46.66633,-88.74034
"Ragged Edge","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106229603/ragged-edge,3.8,-1,TR,5.12,1,30,42.75784,-84.75339
"34.  Matrix (aka Buck Angel Crack)","Silver Mountain > Michigan",https://www.mountainproject.com/route/111837013/34-matrix-aka-buck-angel-crack,4.0,-1,Trad,"5.11c PG13",1,100,46.66633,-88.74034
"35. Don't Panic, and Bring Your Towel","Silver Mountain > Michigan",https://www.mountainproject.com/route/117633917/35-dont-panic-and-bring-your-towel,4.0,-1,Trad,5.12a,1,110,46.66633,-88.74034
"23.b  Golden Heart Direct","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798218/23b-golden-heart-direct,4.0,-1,Sport,5.12d,2,60,46.66633,-88.74034
"14. Flat Iron Left","The AAA Walls > Marquette > Michigan",https://www.mountainproject.com/route/114814521/14-flat-iron-left,4.0,-1,TR,5.10a,1,50,46.7787,-87.77839
"Mystery Jam","Slugg's Bluff (Palmer) > Marquette > Michigan",https://www.mountainproject.com/route/106960094/mystery-jam,4.0,-1,Trad,5.10c/d,1,60,46.4444,-87.5705
"Variation on Crack","R.O.T.C. Rock > Marquette > Michigan",https://www.mountainproject.com/route/106696652/variation-on-crack,4.0,-1,"Trad, TR","5.8 PG13",1,50,46.57148,-87.41879
"Flying Frog Roof","Flying Frog Area > Sugarloaf Mtn > Marquette > Michigan",https://www.mountainproject.com/route/106996881/flying-frog-roof,4.0,-1,"Trad, TR","5.11a/b PG13",1,30,46.60374,-87.45678
"That 10","Phil's Hill > Marquette > Michigan",https://www.mountainproject.com/route/107182611/that-10,4.0,-1,TR,5.10a,1,24,46.51165,-87.42375
"Tree Route","Phil's Hill > Marquette > Michigan",https://www.mountainproject.com/route/107182603/tree-route,4.0,-1,TR,5.12a,1,24,46.51165,-87.42375
"Between the Lines","Phil's Hill > Marquette > Michigan",https://www.mountainproject.com/route/107182588/between-the-lines,4.0,-1,TR,5.11a,1,24,46.51165,-87.42375
Center,"Phil's Hill > Marquette > Michigan",https://www.mountainproject.com/route/107182592/center,4.0,-1,TR,5.10d,1,24,46.51165,-87.42375
"7.  Geriatric Death Metal","Silver Mountain > Michigan",https://www.mountainproject.com/route/114797948/7-geriatric-death-metal,3.6,-1,Sport,5.11d,1,80,46.66633,-88.74034
"Despondecy Direct","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/110411836/despondecy-direct,3.5,-1,TR,5.11c,1,30,42.75784,-84.75339
"30.b Queen Bee Extension","Silver Mountain > Michigan",https://www.mountainproject.com/route/117033735/30b-queen-bee-extension,3.5,-1,Sport,5.11b,1,80,46.66633,-88.74034
"Ludwig's Dude","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106435232/ludwigs-dude,2.7,-1,TR,5.10,1,25,42.75784,-84.75339
"Rated P.G.","Cliff Dr. - Keweenaw County > Michigan",https://www.mountainproject.com/route/106492595/rated-pg,3.7,-1,Sport,5.10,1,35,47.3529,-88.3349
"Inappropriate Behavior","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106229646/inappropriate-behavior,3.7,-1,TR,5.12-,1,30,42.75784,-84.75339
"23.a.  Golden Heart","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798193/23a-golden-heart,3.4,-1,Sport,5.11a,1,65,46.66633,-88.74034
"8. Carbo Boy","The AAA Walls > Marquette > Michigan",https://www.mountainproject.com/route/106731987/8-carbo-boy,3.2,-1,Sport,5.10c/d,1,40,46.7787,-87.77839
Peek-a-boo,"Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106436403/peek-a-boo,2.6,-1,TR,5.9,1,25,42.75784,-84.75339
"6. Fine Wine","The AAA Walls > Marquette > Michigan",https://www.mountainproject.com/route/106733025/6-fine-wine,2.9,-1,Sport,"5.10a PG13",1,50,46.7787,-87.77839
"11. Dirty Girl","Glenda's Pile > Marquette > Michigan",https://www.mountainproject.com/route/106427512/11-dirty-girl,3.2,-1,"Sport, TR",5.10a,1,40,46.51542,-87.4083
"14.  God Bless Stretchy Pants","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798080/14-god-bless-stretchy-pants,3.5,-1,Sport,5.10b/c,2,60,46.66633,-88.74034
"Lie Detector","Cliff Dr. - Keweenaw County > Michigan",https://www.mountainproject.com/route/106487108/lie-detector,3.5,-1,"Trad, TR",5.8,1,70,47.3529,-88.3349
"6.  Super Mario's Magic Mushroom","Silver Mountain > Michigan",https://www.mountainproject.com/route/114797909/6-super-marios-magic-mushroom,3.5,-1,Sport,5.12b,1,60,46.66633,-88.74034
"7. Arbor Day","Suicide > Marquette > Michigan",https://www.mountainproject.com/route/114937896/7-arbor-day,3.5,-1,Sport,5.10d,1,40,46.4895,-87.632
"24.d.  ""ADBM"" Upper Pitch","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798340/24d-adbm-upper-pitch,3.5,-1,Sport,5.11c,1,65,46.66633,-88.74034
"23.c.  Golden Heart Bypass","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798227/23c-golden-heart-bypass,3.5,-1,Sport,5.11c,1,60,46.66633,-88.74034
"Despondecy Direct Natural","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/118083103/despondecy-direct-natural,3.5,-1,"TR, Boulder","5.12 V4",1,30,42.75784,-84.75339
"20.  Crack Debit Or Credit","Silver Mountain > Michigan",https://www.mountainproject.com/route/111894880/20-crack-debit-or-credit,2.7,-1,Sport,5.8,1,50,46.66633,-88.74034
"to many lady bugs","Hogback Mountain > Marquette > Michigan",https://www.mountainproject.com/route/106609111/to-many-lady-bugs,3.3,-1,"Trad, TR",5.12a,1,60,46.60276,-87.49214
"8. 5th Grade Science Project","Suicide > Marquette > Michigan",https://www.mountainproject.com/route/106289079/8-5th-grade-science-project,2.7,-1,Sport,5.10a/b,1,40,46.4895,-87.632
"Pump'n the Gardner","Slugg's Bluff (Palmer) > Marquette > Michigan",https://www.mountainproject.com/route/106576918/pumpn-the-gardner,3.3,-1,"Trad, TR",5.9+,1,50,46.4444,-87.5705
"12.  More Cowbell","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798059/12-more-cowbell,3.2,-1,Sport,5.12a,1,95,46.66633,-88.74034
"19.  Pepsi Showers","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798130/19-pepsi-showers,2.9,-1,Sport,5.9,1,50,46.66633,-88.74034
"Pigeon Shit","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106435213/pigeon-shit,2.3,-1,TR,5.10a,1,25,42.75784,-84.75339
"9.  Carpe Dildo","Silver Mountain > Michigan",https://www.mountainproject.com/route/114798004/9-carpe-dildo,3.0,-1,Trad,5.8,1,85,46.66633,-88.74034
"6. Stairway To Heaven","Suicide > Marquette > Michigan",https://www.mountainproject.com/route/106728326/6-stairway-to-heaven,2.8,-1,Sport,5.9,1,40,46.4895,-87.632
"12. Flight Of The Gumbies","The AAA Walls > Marquette > Michigan",https://www.mountainproject.com/route/106733040/12-flight-of-the-gumbies,3.0,-1,Sport,5.10a/b,1,40,46.7787,-87.77839
"Century Club","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/107325656/century-club,2.6,-1,TR,5.10b/c,1,35,42.75784,-84.75339
"4. Politely Insistent","The AAA Walls > Marquette > Michigan",https://www.mountainproject.com/route/114810338/4-politely-insistent,3.0,-1,Sport,5.10a,1,35,46.7787,-87.77839
"Building Blocks","Grand Ledge (aka Oak Park) > Michigan",https://www.mountainproject.com/route/106436421/building-blocks,2.3,-1,TR,5.9,1,25,42.75784,-84.75339
"Obsession Direct","Cliff Dr. - Keweenaw County > Michigan",https://www.mountainproject.com/route/106504458/obsession-direct,3.0,-1,"Trad, Sport, TR",5.8+,1,95,47.3529,-88.3349
"Shit Hooks","Cliff Dr. - Keweenaw County > Michigan",https://www.mountainproject.com/route/106504468/shit-hooks,3.0,-1,Trad,5.9,1,65,47.3529,-88.3349
