Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Chinese Freedom","Winter Wall > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105826213/chinese-freedom,3.6,-1,Sport,5.11d,1,50,44.56899,-92.52106
"Number 6 a.k.a. The Bulge","Minnesota Strip > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/105826937/number-6-aka-the-bulge,3.4,-1,"Trad, TR",5.10a,1,60,45.39843,-92.6535
"Work Ethic","Cyclops Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105820225/work-ethic,3.4,-1,Sport,5.12a,1,,44.56905,-92.52198
Sigma,"Sigma Wall > Robinson Park > Sandstone > Minnesota",https://www.mountainproject.com/route/105912205/sigma,3.8,-1,Sport,5.12a/b,1,60,46.1354,-92.8587
"Dance of the Sugar-Plump Faeries","Shovel Point > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105831445/dance-of-the-sugar-plump-faeries,3.2,-1,TR,5.8,1,60,47.33938,-91.18778
"Advanced Birding","Perfect Crimb Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105842122/advanced-birding,3.3,-1,Sport,5.11d,1,,44.5696,-92.52273
"Roof Burner","The East End > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105826245/roof-burner,3.2,-1,Sport,5.11-,1,,44.56911,-92.5209
"Frequent Flatulence","New Vice Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105825974/frequent-flatulence,3.1,-1,Sport,5.10b,1,50,44.56993,-92.5238
"The Perfect Crimb","Perfect Crimb Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105826069/the-perfect-crimb,3.0,-1,Sport,5.9,1,45,44.5696,-92.52273
Bluebells,"Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105826905/bluebells,2.9,-1,"Trad, TR",5.9,1,90,47.32016,-91.21086
"Looking for Lust","Annadonia Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105825151/looking-for-lust,2.9,-1,Sport,5.9,1,95,44.56927,-92.52108
"Suicide Squeeze","Cyclops Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105820229/suicide-squeeze,2.9,-1,Sport,5.11b/c,1,,44.56905,-92.52198
Rapprochement,"Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105920464/rapprochement,3.4,-1,"Trad, TR",5.10b,1,120,47.32016,-91.21086
Annadonia,"Annadonia Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105825155/annadonia,2.9,-1,Sport,5.11b,1,75,44.56927,-92.52108
"Phantom Crack","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105826890/phantom-crack,2.9,-1,"Trad, TR",5.9,1,90,47.32016,-91.21086
Cyclops,"Cyclops Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105820233/cyclops,2.8,-1,Sport,5.12a,1,,44.56905,-92.52198
"Needles and Pins","Large Roof Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105826285/needles-and-pins,2.8,-1,Sport,5.10a,1,55,44.56992,-92.52484
"Quick Draw Moves to Hollywood","Large Roof Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105842391/quick-draw-moves-to-hollywood,3.1,-1,Sport,5.11a/b,1,,44.56992,-92.52484
"Two Tone Zephyr","New Vice Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105825445/two-tone-zephyr,2.7,-1,Sport,5.9,1,50,44.56993,-92.5238
"Sleeping Bat in a Ziplock Bag","Cyclops Area > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105824443/sleeping-bat-in-a-ziplock-bag,2.7,-1,Sport,5.10a/b,1,,44.56905,-92.52198
"Foreign Affairs","Winter Wall > Barn Bluff (Red Wing) > Minnesota",https://www.mountainproject.com/route/105826209/foreign-affairs,2.7,-1,Sport,5.10d,1,,44.56899,-92.52106
"Danger High Voltage","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105887364/danger-high-voltage,2.6,-1,Trad,5.8,2,160,47.32016,-91.21086
