Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Red Dihedral","C: Red Dihedral Wall > 2: North, Climber's Right of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/114210985/red-dihedral,3.5,-1,Sport,5.9,1,50,38.01256,-90.62625
"Birds of a Feather","The Lighthouse (middle rock) > WM: Raven Rocks > Missouri",https://www.mountainproject.com/route/110425910/birds-of-a-feather,3.3,-1,"Sport, TR",5.8,1,50,38.11346,-93.37246
"Planet of Sound","Burns Side > WM: Monegaw Springs > Missouri",https://www.mountainproject.com/route/112256303/planet-of-sound,3.7,-1,Sport,5.10b,1,40,38.02517,-93.84338
"Little Trad","B: Tre France Wall > A: Main Bluff > EM: St. Francois State Park > Missouri",https://www.mountainproject.com/route/111366446/little-trad,3.8,-1,Sport,5.11a,1,35,37.96796,-90.53581
"Karp Tool","Battress Area > North Area > CM: Providence > Missouri",https://www.mountainproject.com/route/110428193/karp-tool,3.5,-1,Sport,5.10a,1,65,38.84356,-92.41251
"Ain't No Thing But A Chicken Wing","D: Picasso Wall > 2: North, Climber's Right of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/114212411/aint-no-thing-but-a-chicken-wing,3.3,-1,Sport,5.8,1,75,38.01271,-90.62606
"Sweet Crack","C: Red Dihedral Wall > 2: North, Climber's Right of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/114207251/sweet-crack,3.4,-1,Sport,5.10a,1,60,38.01256,-90.62625
"The Grand Finale","The Refuge > WM: Monegaw Springs > Missouri",https://www.mountainproject.com/route/112273263/the-grand-finale,3.8,-1,Sport,5.12b,1,55,38.02534,-93.84435
Streaker,"The Sport Wall > CM: Wilton > Missouri",https://www.mountainproject.com/route/108290161/streaker,3.8,-1,"Sport, TR",5.12a,1,65,38.7599,-92.3775
"Simple Math","Battress Area > North Area > CM: Providence > Missouri",https://www.mountainproject.com/route/110428187/simple-math,3.5,-1,Sport,5.11b,1,60,38.84356,-92.41251
Lamentation,"The Sport Wall > CM: Wilton > Missouri",https://www.mountainproject.com/route/108288887/lamentation,3.4,-1,"Sport, TR","5.9 PG13",1,65,38.7599,-92.3775
Beehive,"A: Lily Wall > 1: South, Climber's Left of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/114207213/beehive,3.0,-1,Sport,5.9,1,100,38.01189,-90.62741
"Andromeda Sprain","Andromeda Sprain Wall > CM: Andromeda > Missouri",https://www.mountainproject.com/route/105960151/andromeda-sprain,3.5,-1,Trad,5.8,2,100,38.93566,-92.50862
"Fight or Flight","A: Goblin Grotto > 2: North, Climber's Right of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/114370559/fight-or-flight,4.0,-1,Sport,5.10d,1,120,38.01223,-90.62682
Pinkerton,"Burns Side > WM: Monegaw Springs > Missouri",https://www.mountainproject.com/route/112207782/pinkerton,3.5,-1,Sport,5.11d,1,45,38.02517,-93.84338
"Turn Your Head and Cough","Pontoon Wall > WM: Trapper's Camp > Missouri",https://www.mountainproject.com/route/105900966/turn-your-head-and-cough,3.7,-1,Sport,5.10c,1,65,38.01576,-93.71755
"Saint Judy","Funhouse Alcove > WM: Warsaw > Missouri",https://www.mountainproject.com/route/105905389/saint-judy,4.0,-1,Sport,5.12a,1,65,38.25357,-93.42333
"Wing Walker","Katy Cliff > CM: Andromeda > Missouri",https://www.mountainproject.com/route/105961285/wing-walker,4.0,-1,Sport,5.11+,1,,38.93497,-92.50782
"Titos Arete","D: Picasso Wall > 2: North, Climber's Right of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/114207290/titos-arete,3.5,-1,Sport,5.10b,1,80,38.01271,-90.62606
"Crystalline Crack (aka No. 71)","Splitter Crack Wall > River Left > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111245407/crystalline-crack-aka-no-71,4.0,-1,Trad,5.9,1,30,37.5569,-90.44119
"School of Rock (aka No. 70)","Splitter Crack Wall > River Left > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111245390/school-of-rock-aka-no-70,4.0,-1,Trad,5.10,1,30,37.5569,-90.44119
"Vegas Exodus","Pontoon Wall > WM: Trapper's Camp > Missouri",https://www.mountainproject.com/route/105900982/vegas-exodus,4.0,-1,"Trad, Sport",5.11c,1,65,38.01576,-93.71755
"Hi Holes","C: Legacy Wall > 1: South, Climber's Left of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/116577159/hi-holes,4.0,-1,Sport,5.11,2,90,38.01123,-90.6282
"Phantom Fugitives","The Far Side > WM: Warsaw > Missouri",https://www.mountainproject.com/route/105899846/phantom-fugitives,4.0,-1,Sport,5.11b,1,65,38.25357,-93.42333
"Rubens Range","D: Thurmond Slab > A: Main Bluff > EM: St. Francois State Park > Missouri",https://www.mountainproject.com/route/107936978/rubens-range,3.0,-1,Trad,5.9,1,35,37.968,-90.53666
Pockets,"WM: Shadow Rock Park DWS > Missouri",https://www.mountainproject.com/route/114191575/pockets,4.0,-1,"Sport, Boulder","5.13a V7",1,25,36.6847,-93.10628
"Above My Pay Grade","South Area > CM: Providence > Missouri",https://www.mountainproject.com/route/112388728/above-my-pay-grade,4.0,-1,Sport,5.12a/b,2,100,38.83282,-92.40041
"Amore Eel","B: The Love Pillar > North Wall Area > CM: Hermann Roadside Park > Missouri",https://www.mountainproject.com/route/113943382/amore-eel,4.0,-1,Sport,5.8+,1,45,38.6808,-91.4367
"Screamin' Eagle","Washington State Park > XM: Closed Areas > Missouri",https://www.mountainproject.com/route/112854430/screamin-eagle,4.0,-1,Sport,5.13b,1,50,38.09179,-90.68501
Malaria,"The Overhang > WM: Cliff Drive > Missouri",https://www.mountainproject.com/route/106125386/malaria,3.3,-1,Sport,5.12a,1,40,39.1171,-94.549
"Hail of a Traverse","South Area > CM: Providence > Missouri",https://www.mountainproject.com/route/112329735/hail-of-a-traverse,4.0,-1,Trad,5.11,2,150,38.83282,-92.40041
Streaks,"WM: Shadow Rock Park DWS > Missouri",https://www.mountainproject.com/route/111421579/streaks,4.0,-1,TR,5.9,1,30,36.6847,-93.10628
"Muffin Man","Andromeda Sprain Wall > CM: Andromeda > Missouri",https://www.mountainproject.com/route/105960422/muffin-man,4.0,-1,Sport,5.12+,1,,38.93566,-92.50862
"Rainy Day People","Meadows Area > CM: Wilton > Missouri",https://www.mountainproject.com/route/108299288/rainy-day-people,4.0,-1,Trad,5.8,1,,38.7585,-92.3771
"Golden Hour Traverse (aka No. 55)","Pine Rock Bluff > River Left > EM: Millstream Gardens > Missouri",https://www.mountainproject.com/route/111255885/golden-hour-traverse-aka-no-55,4.0,-1,Trad,5.8,1,30,37.57006,-90.4591
"The Diamond","Beaver Slide > River Right > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111910739/the-diamond,4.0,-1,Trad,"5.11 PG13",1,25,37.55478,-90.44
"Jim's (aka No. 67)","Splitter Crack Wall > River Left > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111245354/jims-aka-no-67,4.0,-1,Trad,5.10,1,30,37.5569,-90.44119
"Ginger Snatch","Funhouse Alcove > WM: Warsaw > Missouri",https://www.mountainproject.com/route/105899693/ginger-snatch,4.0,-1,Trad,5.10c,1,60,38.25357,-93.42333
"Pumping Station","Bluff One ""Dihedral Area"" > CM: Scheuler's Ferry > Missouri",https://www.mountainproject.com/route/110956461/pumping-station,4.0,-1,Sport,5.12a,1,,38.34288,-92.22623
"Naked Edge","Beaver Slide > River Right > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111910732/naked-edge,4.0,-1,Trad,5.12,1,25,37.55478,-90.44
"True Grit (aka No. 69)","Splitter Crack Wall > River Left > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111245372/true-grit-aka-no-69,4.0,-1,Trad,5.11,1,30,37.5569,-90.44119
"The Pickaxe (aka No. 102)","The Sweet Cracks > River Right > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111245637/the-pickaxe-aka-no-102,4.0,-1,Trad,5.8,1,30,37.55493,-90.44063
"Joe's (aka No. 68)","Splitter Crack Wall > River Left > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111245360/joes-aka-no-68,4.0,-1,Trad,5.10,1,30,37.5569,-90.44119
"Silver Miner (aka. No. 54)","Eagles Head > River Right > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111910769/silver-miner-aka-no-54,4.0,-1,Trad,5.10,1,25,37.55507,-90.44126
"Hammer Head (aka No. 11)","The First Gully > River Right > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111245445/hammer-head-aka-no-11,4.0,-1,Trad,5.10,1,30,37.55493,-90.44063
"Washed Away (aka No. 21)","The Second Gully > River Right > EM: Silver Mines > Missouri",https://www.mountainproject.com/route/111245464/washed-away-aka-no-21,4.0,-1,Trad,"5.10 PG13",1,25,37.55493,-90.44063
"Indian Drug Carpet","Weenie Buttress > WM: Warsaw > Missouri",https://www.mountainproject.com/route/105899625/indian-drug-carpet,3.8,-1,Sport,5.11c,1,40,38.25357,-93.42333
"Corazon Nuevo","The Sport Wall > CM: Wilton > Missouri",https://www.mountainproject.com/route/110428631/corazon-nuevo,3.6,-1,Sport,5.11b,1,65,38.7599,-92.3775
"Smells Like Bat Spirit","Battress Area > North Area > CM: Providence > Missouri",https://www.mountainproject.com/route/110428111/smells-like-bat-spirit,3.5,-1,Sport,5.11b,1,45,38.84356,-92.41251
"Dogs Don't do Coffee","Katy Cliff > CM: Andromeda > Missouri",https://www.mountainproject.com/route/105960554/dogs-dont-do-coffee,3.7,-1,Sport,5.11,1,,38.93497,-92.50782
"Grandfather Sky","The Refuge > WM: Monegaw Springs > Missouri",https://www.mountainproject.com/route/112461677/grandfather-sky,3.8,-1,Sport,5.12a,1,55,38.02534,-93.84435
"Return to Sender","Providence Main Wall > CM: Providence > Missouri",https://www.mountainproject.com/route/112293458/return-to-sender,3.8,-1,Sport,5.12,1,75,38.83528,-92.40306
"Tre France'","B: Tre France Wall > A: Main Bluff > EM: St. Francois State Park > Missouri",https://www.mountainproject.com/route/111352610/tre-france,3.3,-1,Sport,5.12a,1,,37.96796,-90.53581
Norminator,"F: Van Gogh Wall > 2: North, Climber's Right of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/114213042/norminator,3.1,-1,Sport,5.9+,1,60,38.01304,-90.62529
"Duel Administration","D: Picasso Wall > 2: North, Climber's Right of Stairs > EM: Robinson Bluff > Missouri",https://www.mountainproject.com/route/114212458/duel-administration,3.5,-1,Sport,5.12a,1,65,38.01271,-90.62606
"Chomping the Bit","The Overhang > WM: Cliff Drive > Missouri",https://www.mountainproject.com/route/106125381/chomping-the-bit,2.4,-1,Sport,5.10a,1,30,39.1171,-94.549
"Flying Meat","Walkdown Area > CM: Andromeda > Missouri",https://www.mountainproject.com/route/105960142/flying-meat,3.2,-1,Sport,5.10a,1,50,38.93618,-92.50899
"Enter the Dragon","Stealth Wall > WM: Trapper's Camp > Missouri",https://www.mountainproject.com/route/105900803/enter-the-dragon,3.5,-1,Sport,5.11a,1,55,38.01576,-93.71755
"North of the North Fourty","Burns Side > WM: Monegaw Springs > Missouri",https://www.mountainproject.com/route/112256266/north-of-the-north-fourty,3.0,-1,Sport,5.10a,1,45,38.02517,-93.84338
Ezekiel,"The Sport Wall > CM: Wilton > Missouri",https://www.mountainproject.com/route/110428603/ezekiel,3.6,-1,Sport,5.11b/c,1,65,38.7599,-92.3775
