Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Sparerib,"Sparerib Area > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105961561/sparerib,3.8,-1,Trad,5.8,2,225,45.4196,-111.2293
"Standard Route","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105941845/standard-route,3.5,-1,Trad,5.8+,3,300,45.4169,-111.2342
Theoretically,"Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106252233/theoretically,3.5,-1,"Trad, TR",5.10c,1,60,45.55519,-111.06181
"Flake Fest","7-11 Crag > Allenspur > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/108077894/flake-fest,3.6,-1,Sport,5.10b,1,75,45.5944,-110.5583
Tigger,"Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106870492/tigger,3.4,-1,Trad,5.10a/b,2,140,45.4169,-111.2342
"Shoshone South Face","Shoshone Spire > Blodgett Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/106679643/shoshone-south-face,3.7,-1,Trad,5.8+,5,600,46.27751,-114.28114
Ignition,"The Prow > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107077816/ignition,3.3,-1,Sport,5.11a,1,40,45.6049,-110.9148
"Thing In Between","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105947741/thing-in-between,3.1,-1,Trad,5.9,1,80,45.4169,-111.2342
"The Mutt and Jeff","The Wedge > Humbug Spires > Southwest Region > Montana",https://www.mountainproject.com/route/107321383/the-mutt-and-jeff,3.7,-1,Trad,5.8,5,600,45.7773,-112.63682
"First Best","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105941861/first-best,3.1,-1,Trad,5.10-,1,70,45.4169,-111.2342
"Diesel Driver","Black Line Buttress > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107165169/diesel-driver,3.8,-1,Trad,5.9,1,130,45.41671,-111.2296
"Black Line","Black Line Buttress > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106002018/black-line,3.7,-1,Trad,5.10b,1,115,45.41671,-111.2296
"Bowling for Buicks","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106963269/bowling-for-buicks,3.8,-1,Sport,5.12a,1,80,45.4169,-111.2342
"Pineapple Thunderpussy","Pineapple Buttress > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105961779/pineapple-thunderpussy,3.6,-1,Trad,5.9,2,200,45.41837,-111.23099
"The Fiver","Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106497956/the-fiver,2.4,-1,Trad,5.8,1,70,45.55519,-111.06181
"The Waltz","The Waltz Formation > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107653331/the-waltz,3.0,-1,Trad,5.8,4,300,45.41747,-111.23097
"Soft in the Middle","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106433348/soft-in-the-middle,3.6,-1,"Trad, Sport",5.11b/c,1,70,45.4169,-111.2342
"The Dagger","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106520721/the-dagger,2.7,-1,Trad,5.8,1,40,45.4169,-111.2342
"Wizards Well","Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106870487/wizards-well,3.3,-1,Trad,5.9+,1,45,45.55519,-111.06181
"Rancho Deluxe","7-11 Crag > Allenspur > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/107527732/rancho-deluxe,3.4,-1,Sport,5.11b,1,70,45.5944,-110.5583
"Orange Crack","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105947722/orange-crack,3.1,-1,Trad,5.11,3,300,45.4169,-111.2342
"Blind Black Babies","Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106255818/blind-black-babies,2.9,-1,"Trad, Sport",5.9,1,75,45.55519,-111.06181
"The Tempest","First Buttress > Kootenai Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/107110111/the-tempest,3.8,-1,Sport,5.11b,1,120,46.53817,-114.15457
Timebinder,"The Prow > Blodgett Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/106954084/timebinder,4.0,-1,Trad,5.11,8,900,46.2723,-114.2539
"Pleasant Surprise","Second Buttress > Kootenai Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/107110611/pleasant-surprise,3.3,-1,Trad,5.8,1,80,46.53792,-114.15797
"11th Commandment","First Buttress > Kootenai Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/107110349/11th-commandment,2.5,-1,Sport,5.10a,1,70,46.53817,-114.15457
