Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Moby Grape","4. Moby Grape Area > *Cannon Cliff > New Hampshire",https://www.mountainproject.com/route/105884815/moby-grape,3.8,-1,"Trad, Alpine","5.8 PG13",7,,44.15838,-71.6846
"Flying Hawaiian","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105910536/flying-hawaiian,3.8,-1,Sport,5.11b,1,,43.80386,-71.84091
"Giant Man","The Hinterlands > *Rumney > New Hampshire",https://www.mountainproject.com/route/106011340/giant-man,3.9,-1,Sport,5.12b/c,1,90,43.80518,-71.84285
Recompense,"The Prow Area > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/105880759/recompense,3.7,-1,Trad,5.9,3,400,44.06298,-71.1656
Vertigo,"4. Moby Grape Area > *Cannon Cliff > New Hampshire",https://www.mountainproject.com/route/105888753/vertigo,3.8,-1,"Trad, Aid, Alpine","5.9 A0 R",4,500,44.15838,-71.6846
Technosurfing,"Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105867836/technosurfing,3.8,-1,Sport,5.12b,1,60,43.80386,-71.84091
"Whip Tide","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105868994/whip-tide,3.8,-1,Sport,5.12b,1,75,43.80386,-71.84091
"The Beast Flake","The Prow Area > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/105919971/the-beast-flake,3.8,-1,Trad,5.9,1,,44.06298,-71.1656
"Reppys Crack","4. Moby Grape Area > *Cannon Cliff > New Hampshire",https://www.mountainproject.com/route/110887591/reppys-crack,3.7,-1,"Trad, Alpine",5.8,1,100,44.15838,-71.6846
Airation,"Airation Buttress > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/105920901/airation,3.7,-1,Trad,5.11a,2,,44.06337,-71.16628
Waimea,"Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105867858/waimea,3.6,-1,Sport,5.10d,1,50,43.80386,-71.84091
"VMC Direct Direct","3. Big Wall > *Cannon Cliff > New Hampshire",https://www.mountainproject.com/route/106028120/vmc-direct-direct,3.9,-1,"Trad, Alpine",5.10+,9,800,44.15801,-71.68536
"The Book of Solemnity","Barber Wall > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/105880787/the-book-of-solemnity,3.7,-1,Trad,5.10a,2,190,44.0622,-71.16582
"The Crusher","Orange Crush > *Rumney > New Hampshire",https://www.mountainproject.com/route/106200868/the-crusher,3.7,-1,Sport,5.11d,1,80,43.80293,-71.83513
"Lonesome Dove","Jimmy Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105879126/lonesome-dove,3.6,-1,Sport,5.10a,1,,43.80417,-71.84037
"Flesh For Lulu","Holderness Corner > The Meadows > *Rumney > New Hampshire",https://www.mountainproject.com/route/105908632/flesh-for-lulu,3.6,-1,Sport,5.12a/b,1,,43.8024,-71.8314
"They Died Laughing","The North End > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/105909672/they-died-laughing,3.6,-1,Trad,5.9,1,100,44.06728,-71.16671
"Millenium Falcon","Main Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/106021168/millenium-falcon,3.6,-1,Sport,5.10c,1,75,43.8025,-71.83593
"Venus on a Halfshell","Venus Wall > *Rumney > New Hampshire",https://www.mountainproject.com/route/105877233/venus-on-a-halfshell,3.7,-1,Sport,5.12c,1,,43.80188,-71.8375
"The Prow","The Prow Area > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/106011864/the-prow,3.9,-1,Trad,5.11d,6,350,44.06298,-71.1656
Nutcracker,"Barber Wall > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/105922177/nutcracker,3.6,-1,Trad,5.10a,1,75,44.0622,-71.16582
Diedre,"The Diedre Area > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/105938087/diedre,3.5,-1,Trad,5.10a,5,350,44.06445,-71.16588
Jolt,"The Hinterlands > *Rumney > New Hampshire",https://www.mountainproject.com/route/105931493/jolt,3.5,-1,Sport,5.10a,1,,43.80518,-71.84285
"Armed and Dangerous, and Off My Medication","Armed and Dangerous (Main Cliff Left) > *Rumney > New Hampshire",https://www.mountainproject.com/route/105935097/armed-and-dangerous-and-off-my-medication,3.5,-1,Sport,5.10b,1,,43.80202,-71.83678
Underdog,"Main Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105877217/underdog,3.4,-1,Sport,5.10a,1,,43.8025,-71.83593
