Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
corkscrew,"The Great Arch > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/108124429/corkscrew,3.6,-1,Trad,"5.8+ PG13",2,200,40.9693,-75.1113
"Watchung Arete","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129961/watchung-arete,4.0,-1,TR,5.10a,1,22,40.31299,-74.55319
"Dead Man's Curve","Roadside Area > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/109286001/dead-mans-curve,4.0,-1,Trad,5.8+,1,30,40.9693,-75.1113
"Outside Chance","Double Overhang Area > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/115789557/outside-chance,4.0,-1,Trad,5.9,2,220,40.9693,-75.1113
"Triple Overhangs","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129883/triple-overhangs,4.0,-1,TR,5.10d,1,22,40.31299,-74.55319
"The Bowl","Upper Lead Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114056553/the-bowl,4.0,-1,TR,5.9+,1,35,40.9199,-74.7493
"Chrissy's Bowl","High Point State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114088562/chrissys-bowl,4.0,-1,Trad,"5.8 R",1,40,40.313,-74.55319
"Who Stole Your Shoes","High Point State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114088549/who-stole-your-shoes,4.0,-1,Trad,5.8,1,45,40.313,-74.55319
"Triple Cranks","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129853/triple-cranks,4.0,-1,TR,5.11a,1,22,40.31299,-74.55319
"Death Don't Have No Mercy","Death Don't Have No Mercy > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/111925814/death-dont-have-no-mercy,3.8,-1,Trad,5.9,2,180,40.9693,-75.1113
"Bolt Line","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129956/bolt-line,3.5,-1,TR,5.8,1,25,40.31299,-74.55319
"Double Overhang","Double Overhang Area > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106717867/double-overhang,2.8,-1,Trad,5.8,2,160,40.9693,-75.1113
Hourglass,"Main Wall and Right Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106369038/hourglass,2.5,-1,"Trad, TR","5.8 R",1,60,40.9202,-74.75199
