Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Crack Attack","Rad Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105819879/crack-attack,3.9,-1,Sport,5.12a,1,65,36.39259,-106.19534
"Pumping Huecos","The Sponge > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/105865288/pumping-huecos,3.7,-1,Sport,5.10d,1,50,35.82164,-106.53818
"Grape Ape","Winter Wall > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/105796988/grape-ape,3.7,-1,Sport,5.10c,1,150,35.80566,-106.14024
"Bolting Barbie","Rad Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105818753/bolting-barbie,3.7,-1,Sport,5.11c/d,1,50,36.39259,-106.19534
"Once Upon a Time","North (Left) Face > The Enchanted Tower > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105821650/once-upon-a-time,3.6,-1,Sport,5.11c,1,90,34.23091,-107.91688
Rumplestiltskin,"North (Left) Face > The Enchanted Tower > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105845012/rumplestiltskin,3.6,-1,Sport,5.12a,1,75,34.23091,-107.91688
Estrellita,"Estrellita > La Cueva Canyon, Upper > Sandia Mountains > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/105789299/estrellita,3.6,-1,"Trad, Alpine",5.8,1,110,35.20574,-106.44949
"Golden Stairs","South/Southeast (Right) Face > The Enchanted Tower > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105821675/golden-stairs,3.6,-1,Sport,5.11c,1,120,34.23077,-107.91675
Forrest,"Gateway Rock > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/105860955/forrest,3.6,-1,Sport,5.10b/c,1,62,35.816,-106.533
"Post Moderate","Winter Wall > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/105796992/post-moderate,3.5,-1,Sport,5.9,1,165,35.80566,-106.14024
"Cobble Wobble","Big Pine Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105819246/cobble-wobble,3.5,-1,Sport,5.10c,1,65,36.39277,-106.19575
"The Second Coming","Muralla Grande > Chimney Canyon > Sandia Mountains > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/105789961/the-second-coming,3.3,-1,"Trad, Alpine",5.8,4,,35.2152,-106.455
Grendel,"North (Left) Face > The Enchanted Tower > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105831707/grendel,3.4,-1,Sport,5.11b,1,80,34.23091,-107.91688
Technowitch,"North (Left) Face > The Enchanted Tower > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105808777/technowitch,3.2,-1,Sport,5.12a,1,70,34.23091,-107.91688
Werepig,"Monster Wall > Upper East Fork (UEF) > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106383036/werepig,3.8,-1,Sport,5.11c,1,80,35.8202,-106.5173
"Pogue's Arete","Pogue's Cave Area > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105819458/pogues-arete,3.1,-1,Sport,5.11a/b,1,,34.23284,-107.91784
"Excitable Boys","Muralla Grande > Chimney Canyon > Sandia Mountains > Albuquerque Area Climbing > New Mexico",https://www.mountainproject.com/route/105903385/excitable-boys,3.3,-1,"Trad, Alpine",5.9+,7,700,35.2152,-106.455
Boltaneer,"Super Slab > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105818720/boltaneer,3.0,-1,Sport,5.10a,1,85,36.39224,-106.19574
"Cow Pies For Breakfast","Cattle Call Wall Area > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/105860908/cow-pies-for-breakfast,3.0,-1,Sport,5.10d,1,40,35.8143,-106.531
"Freddie Prince Jr","Frog Prince > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105972790/freddie-prince-jr,2.9,-1,Sport,5.10a,1,,34.23008,-107.91611
"Scurvy Dog","Pirate's Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105818432/scurvy-dog,2.9,-1,Sport,5.9,1,60,36.39247,-106.19592
"Flotsam & Jetsam","South/Southeast (Right) Face > The Enchanted Tower > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105842784/flotsam-jetsam,3.2,-1,Sport,5.12a,1,70,34.23077,-107.91675
"Balls to the Wall","Gnar Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105980226/balls-to-the-wall,2.8,-1,Sport,5.10b,1,50,36.39297,-106.19541
