Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bonnie's Roof","i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105801433/bonnies-roof,3.8,-1,Trad,5.9,2,250,41.74421,-74.179
"The Fastest Gun","Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/106059289/the-fastest-gun,3.9,-1,Trad,5.10b,4,500,44.40783,-73.50371
"Cascading Crystal Kaleidoscope (CCK)","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105801065/cascading-crystal-kaleidoscope-cck,3.7,-1,Trad,"5.8 PG13",3,250,41.74396,-74.17964
"Son of Easy O","c. Frog's Head - the Arch > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105821512/son-of-easy-o,3.8,-1,Trad,5.8,2,170,41.73836,-74.18537
Directississima,"i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799077/directississima,3.8,-1,Trad,5.10b,2,200,41.74421,-74.179
"Frosted Mug","Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/106542971/frosted-mug,3.8,-1,Trad,5.9,1,90,44.14338,-73.75578
"CCK Direct","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105801940/cck-direct,3.8,-1,Trad,"5.9 PG13",2,240,41.74396,-74.17964
"Welcome to the Gunks","e. The Mac Wall (Something Interesting) > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799065/welcome-to-the-gunks,3.8,-1,Trad,"5.10b PG13",1,95,41.73936,-74.18421
"Erect Direction","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799041/erect-direction,3.7,-1,Trad,5.10c,3,300,41.74396,-74.17964
"Modern Times","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799085/modern-times,3.6,-1,Trad,5.8+,2,250,41.74396,-74.17964
Directissima,"i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799563/directissima,3.6,-1,Trad,5.9,2,120,41.74421,-74.179
