Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Dopey Duck","Shortoff Mountain > Linville Gorge > North Carolina",https://www.mountainproject.com/route/105969252/dopey-duck,3.8,-1,Trad,5.9,3,350,35.8314,-81.9026
"Shredded Wheat","Cereal Buttress > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105923509/shredded-wheat,3.8,-1,Trad,5.11a,1,90,35.44955,-82.213
"Quaker State","The Amphitheater > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106346381/quaker-state,3.9,-1,Trad,5.11a,1,100,36.3979,-80.2917
"Air Show","Circus Wall > Sentinel Buttress > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106337238/air-show,3.8,-1,Trad,5.8+,2,180,36.3973,-80.2861
"The Nose","Nose Area > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105874396/the-nose,3.5,-1,Trad,5.8,4,400,35.30474,-82.79538
"Straight and Narrow","Shortoff Mountain > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106025962/straight-and-narrow,3.7,-1,Trad,5.10a,3,340,35.8314,-81.9026
"Titties & Beer  (aka ""World's Hardest 5.8"")","Sun Wall > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105900752/titties-beer-aka-worlds-hardest-58,3.6,-1,Trad,5.10a,5,500,35.30308,-82.79529
"White Lightning","Table Rock > Linville Gorge > North Carolina",https://www.mountainproject.com/route/105925472/white-lightning,3.6,-1,Trad,5.8+,2,200,35.88831,-81.88519
"Frosted Flake","Cereal Buttress > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105899306/frosted-flake,3.6,-1,Trad,5.9+,1,80,35.44955,-82.213
Boardwalk,"Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/105887636/boardwalk,3.6,-1,Trad,5.8,2,130,36.099,-81.7815
"The Womb","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105874488/the-womb,3.7,-1,Trad,5.11a,3,250,35.30546,-82.79093
"Invisible Airwaves","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/106451575/invisible-airwaves,3.5,-1,"Trad, Aid","5.10c A2",3,240,35.30546,-82.79093
"Linn Cove Lullaby","Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/105888558/linn-cove-lullaby,3.5,-1,Trad,5.10a,2,120,36.099,-81.7815
"Paradise Alley","Shortoff Mountain > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106174037/paradise-alley,3.4,-1,Trad,5.8+,4,450,35.8314,-81.9026
Comatose,"Comatose Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105937288/comatose,3.3,-1,Trad,5.8,1,100,35.44983,-82.21444
"The Seal","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105934845/the-seal,3.3,-1,Trad,5.10-,4,400,35.30546,-82.79093
"Sundial Crack","Nose Area > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105891892/sundial-crack,3.2,-1,Trad,5.8-,4,430,35.30474,-82.79538
"Original Route (aka Gom Jabber)","Southeast Face > Whiteside Mountain > North Carolina",https://www.mountainproject.com/route/105965582/original-route-aka-gom-jabber,3.5,-1,Trad,"5.11a R",10,800,35.0831,-83.1358
"Rat's Ass","South Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105939182/rats-ass,3.2,-1,Trad,5.8+,3,300,35.30054,-82.79229
"Gemini Crack","South Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105939175/gemini-crack,3.2,-1,Trad,5.8,2,200,35.30054,-82.79229
"Gunboat Diplomacy","Flakeview Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105937346/gunboat-diplomacy,3.1,-1,Sport,5.10b,2,160,35.449,-82.2143
"Airlie Gardens","Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/106803462/airlie-gardens,3.7,-1,Trad,5.9,2,130,36.099,-81.7815
"The Pulpit","Stone Mountain South Face > Stone Mountain > North Carolina",https://www.mountainproject.com/route/105894448/the-pulpit,3.0,-1,Trad,5.8,5,800,36.3916,-81.0473
"Hindu Kush","Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/105941036/hindu-kush,3.1,-1,Trad,5.8,2,180,36.099,-81.7815
Harpoon,"Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/105887719/harpoon,3.1,-1,Trad,5.10a,1,50,36.099,-81.7815
"Construction Job","Shortoff Mountain > Linville Gorge > North Carolina",https://www.mountainproject.com/route/105940162/construction-job,3.5,-1,Trad,5.9,3,400,35.8314,-81.9026
"Creatures of Waste","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/106831306/creatures-of-waste,3.6,-1,"Trad, Aid","5.10c A3",4,300,35.30546,-82.79093
Electra,"David's Castle Wall > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/106101380/electra,3.1,-1,Sport,5.10c,1,50,35.2331,-81.2745
"Devil in the White House","Devil in the White House > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/106955638/devil-in-the-white-house,3.0,-1,Sport,5.10c/d,1,60,36.3402,-80.4808
"Lost at Sea","Upper Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/106135806/lost-at-sea,3.0,-1,Trad,5.8,1,70,36.099,-81.7815
"Unfinished Concerto","South Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105950764/unfinished-concerto,3.1,-1,Trad,5.9+,3,300,35.30054,-82.79229
Homegrown,"The Dump (Routes) > The Dump > North Carolina",https://www.mountainproject.com/route/106562237/homegrown,3.0,-1,Sport,5.10a,1,,36.0971,-81.7719
"Whisky For Breakfast","Cereal Buttress > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106002311/whisky-for-breakfast,3.0,-1,Trad,"5.10d PG13",2,90,35.44955,-82.213
"Chicken Bone","Parking Lot > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/106101924/chicken-bone,2.9,-1,"Trad, Sport, TR",5.8,1,90,36.33961,-80.48101
Granola,"Cereal Buttress > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105923513/granola,2.9,-1,Trad,5.8+,1,70,35.44955,-82.213
"Master Beta","Red Wall > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/106456087/master-beta,3.0,-1,Sport,5.10c,1,80,35.23437,-81.27357
"First Return","South Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105950799/first-return,2.9,-1,Trad,5.8,1,200,35.30054,-82.79229
"Built to Tilt","Shortoff Mountain > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106174053/built-to-tilt,3.6,-1,Trad,5.10a/b,3,300,35.8314,-81.9026
"Slippin' into Darkness","Table Rock > Linville Gorge > North Carolina",https://www.mountainproject.com/route/105882386/slippin-into-darkness,2.9,-1,Trad,5.9,1,70,35.88831,-81.88519
"Voodoo Child","The Dump (Routes) > The Dump > North Carolina",https://www.mountainproject.com/route/106562232/voodoo-child,2.8,-1,Sport,5.11a,1,,36.0971,-81.7719
"Breakfast of Champions","Cereal Buttress > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105924900/breakfast-of-champions,3.2,-1,Trad,5.10d,1,80,35.44955,-82.213
"Borrowed Time","Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/105887642/borrowed-time,2.7,-1,Trad,5.9,1,60,36.099,-81.7815
Opinionated,"Red Wall > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/106100002/opinionated,2.7,-1,Sport,5.9,1,60,35.23437,-81.27357
Crackerjack,"Table Rock > Linville Gorge > North Carolina",https://www.mountainproject.com/route/105925443/crackerjack,3.1,-1,Trad,5.8,2,200,35.88831,-81.88519
"Ooga Chocka","David's Castle (backside) > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/106101407/ooga-chocka,2.7,-1,"Trad, TR",5.8,1,70,35.23305,-81.27463
"Black Rain","Black Rain Wall > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/106101931/black-rain,2.6,-1,Sport,5.9,1,80,36.33998,-80.48373
"Drivin' and Cryin'","Flakeview Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105937411/drivin-and-cryin,2.5,-1,Sport,5.10a,1,110,35.449,-82.2143
"The Glass Menagerie","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105980466/the-glass-menagerie,3.9,-1,Trad,"5.13a PG13",7,900,35.30546,-82.79093
"Dinkus Dog","South Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/106045504/dinkus-dog,3.8,-1,Trad,5.10a/b,2,200,35.30054,-82.79229
"Holy Guacamole","Trundlasaurus Wall > Resurgence Walls > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/106246828/holy-guacamole,2.6,-1,Sport,5.8,1,50,35.23608,-81.27274
"Break On Through","Circus Wall > Sentinel Buttress > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106820153/break-on-through,3.7,-1,Trad,5.10a,2,200,36.3973,-80.2861
"KB Capers","Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/105936891/kb-capers,3.3,-1,Trad,5.10a,2,140,36.099,-81.7815
"Lost in Space","Main Wall > Hawksbill Mtn > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106617876/lost-in-space,3.8,-1,Trad,5.10b,3,170,35.91343,-81.88633
"Overhang Hangover","Amphitheater > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/106988580/overhang-hangover,3.1,-1,Sport,5.11b,1,60,36.3402,-80.48356
"Anguish of Captain Bligh","Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/105887722/anguish-of-captain-bligh,3.3,-1,Trad,5.11b,1,50,36.099,-81.7815
"Pump Street","Amphitheater > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/109506951/pump-street,2.7,-1,Sport,5.10a,1,65,36.3402,-80.48356
Fathom,"Laurel Knob > North Carolina",https://www.mountainproject.com/route/106014851/fathom,3.5,-1,Trad,5.10a,8,1000,35.1503,-83.0564
Seconds,"Laurel Knob > North Carolina",https://www.mountainproject.com/route/105899475/seconds,3.3,-1,Trad,5.8+,7,1100,35.1503,-83.0564
"BOG Man","Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/105887766/bog-man,3.7,-1,Trad,5.11a,2,110,36.099,-81.7815
"Turkey Shoot","Amphitheater > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/106101943/turkey-shoot,2.3,-1,Sport,5.8,1,50,36.3402,-80.48356
"Cornflake Crack","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105874155/cornflake-crack,4.0,-1,Trad,5.11-,3,250,35.30546,-82.79093
"Bloody Crack","South Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105874179/bloody-crack,2.2,-1,Trad,5.8,3,300,35.30054,-82.79229
"Southern Boys Don't Wear Plaid","Screamweaver Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106350315/southern-boys-dont-wear-plaid,3.0,-1,Trad,5.11b,1,80,35.449,-82.2143
Zydygo,"Screamweaver Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105947730/zydygo,3.0,-1,Trad,5.10c,1,90,35.449,-82.2143
"Bumblebee Butress","North Carolina Wall > Linville Gorge > North Carolina",https://www.mountainproject.com/route/105972319/bumblebee-butress,3.5,-1,Trad,5.8,4,450,35.8868,-81.8851
"Capt Crunch","Cereal Buttress > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105930790/capt-crunch,3.4,-1,Trad,5.10d,1,80,35.44955,-82.213
"Energy Czar","David's Castle Wall > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/106427936/energy-czar,3.3,-1,Sport,5.10d,1,70,35.2331,-81.2745
"Do or Dive","The Amphitheater > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106777987/do-or-dive,3.1,-1,Trad,5.10a,1,100,36.3979,-80.2917
"Great White Way","Stone Mountain South Face > Stone Mountain > North Carolina",https://www.mountainproject.com/route/106397899/great-white-way,3.6,-1,Trad,5.9,3,250,36.3916,-81.0473
Nutsweat,"North End > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106820188/nutsweat,3.6,-1,Trad,5.9+,1,110,36.3979,-80.2917
"Code 3","Little Wilson > North Carolina",https://www.mountainproject.com/route/107199103/code-3,3.3,-1,Sport,5.10+,1,50,36.0885,-81.79303
"Vascular Disaster","North End > Moore's Wall > North Carolina",https://www.mountainproject.com/route/105989353/vascular-disaster,3.9,-1,Trad,"5.11c PG13",1,75,36.3979,-80.2917
"The Herculean Test","Devil in the White House > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/107264984/the-herculean-test,3.0,-1,"Trad, Sport",5.11a,1,,36.3402,-80.4808
"Rusty Redneck","Comatose Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105937310/rusty-redneck,3.0,-1,"Trad, Sport",5.10c,1,100,35.44983,-82.21444
"Raise Hell","The Amphitheater > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106480040/raise-hell,2.9,-1,Trad,5.8,1,120,36.3979,-80.2917
"The Gimp","Red Wall > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/106858917/the-gimp,2.9,-1,Sport,5.10c,1,75,35.23437,-81.27357
Hyperbola,"Nose Area > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105900646/hyperbola,3.8,-1,Trad,"5.10a R",4,550,35.30474,-82.79538
Peregrine,"Nose Area > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105950734/peregrine,2.8,-1,Trad,5.9,4,450,35.30474,-82.79538
"Step and Fetch","The Amphitheater > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106582189/step-and-fetch,3.1,-1,Trad,5.8+,1,140,36.3979,-80.2917
"Safari Jive","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/106520367/safari-jive,3.6,-1,Trad,5.11c,2,200,35.30546,-82.79093
"Blue Chock","Central Wall > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106545800/blue-chock,3.6,-1,Trad,5.10a/b,1,150,36.39764,-80.28578
"Mama Bear","Three Bears > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/106106873/mama-bear,2.5,-1,TR,5.10a/b,1,30,36.3402,-80.4808
"Grand Funk Railroad","Stone Mountain South Face > Stone Mountain > North Carolina",https://www.mountainproject.com/route/106311253/grand-funk-railroad,3.7,-1,Trad,5.9-,5,600,36.3916,-81.0473
"Second Stanza","Table Rock > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106285720/second-stanza,3.1,-1,Trad,5.9,4,250,35.88831,-81.88519
Erocktica,"Little Amphitheater > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/108245161/erocktica,2.7,-1,Sport,5.10c,1,50,36.3402,-80.4808
"Unwritten Law","The Dump (Routes) > The Dump > North Carolina",https://www.mountainproject.com/route/106107118/unwritten-law,3.6,-1,Sport,5.12b/c,1,45,36.0971,-81.7719
"Climb With A View","Little Wilson > North Carolina",https://www.mountainproject.com/route/107199171/climb-with-a-view,2.7,-1,Sport,5.10b,1,60,36.0885,-81.79303
"The Broach","Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/106153703/the-broach,3.9,-1,Trad,5.11,2,140,36.099,-81.7815
Shadowdance,"North End > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106067020/shadowdance,3.6,-1,Trad,"5.11+ R",2,120,36.3979,-80.2917
"Any Major Dude","Three Bears > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/107067511/any-major-dude,3.1,-1,"Sport, TR",5.11c,1,30,36.3402,-80.4808
"Dewey Used To Love It","Trundlasaurus Wall > Resurgence Walls > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/106246759/dewey-used-to-love-it,2.7,-1,Sport,5.10a,1,50,35.23608,-81.27274
"Born Again","Cereal Buttress > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106002384/born-again,2.6,-1,Sport,5.10+,1,90,35.44955,-82.213
Vermin,"The Dump (Routes) > The Dump > North Carolina",https://www.mountainproject.com/route/106562226/vermin,2.1,-1,Sport,5.10b,1,,36.0971,-81.7719
"Pull the Plug","Comatose Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105937338/pull-the-plug,2.9,-1,Sport,5.11a/b,1,125,35.44983,-82.21444
"Mighty Mouse","North End > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106299399/mighty-mouse,3.8,-1,Trad,5.11+,1,80,36.3979,-80.2917
Julia,"Shortoff Mountain > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106040826/julia,3.5,-1,Trad,5.10b,3,300,35.8314,-81.9026
"Lichen Worms","Middle Hawksbill > Hawksbill Mtn > Linville Gorge > North Carolina",https://www.mountainproject.com/route/107614682/lichen-worms,3.1,-1,"Trad, Sport",5.8+,1,100,35.91263,-81.88769
"Gift Certificate","Flakeview Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105902398/gift-certificate,2.6,-1,Trad,5.8,1,180,35.449,-82.2143
"The Fin","Little Wilson > North Carolina",https://www.mountainproject.com/route/107265638/the-fin,2.6,-1,Sport,5.9,1,45,36.0885,-81.79303
"The Open Book","Amphitheater > Linville Gorge > North Carolina",https://www.mountainproject.com/route/105924870/the-open-book,3.7,-1,Trad,5.11b,2,175,35.871,-81.89291
Gumfighter,"Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/106069822/gumfighter,3.2,-1,Trad,5.11+,1,80,36.099,-81.7815
"Chicken Head City","Screamweaver Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106623077/chicken-head-city,2.6,-1,Trad,5.9,1,100,35.449,-82.2143
"The Wall","Practice Wall > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/106658094/the-wall,3.0,-1,"Trad, TR",5.10a,1,60,35.23235,-81.27513
"Hyperbola Direct Start","Nose Area > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/107902591/hyperbola-direct-start,3.9,-1,Trad,5.11a,1,100,35.30474,-82.79538
"Seven Year Itch","Flakeview Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106918924/seven-year-itch,3.0,-1,Sport,5.11a,1,120,35.449,-82.2143
"Welcome to Watauga","Main Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/105888951/welcome-to-watauga,3.4,-1,Trad,5.11a,2,110,36.099,-81.7815
"Smooth Sailing (aka Lloyd Would Have Liked It)","Big Arete > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/108058201/smooth-sailing-aka-lloyd-would-have-liked-it,2.7,-1,Sport,5.10a,1,80,36.3402,-80.4808
"No Free Lunch","Middle Hawksbill > Hawksbill Mtn > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106390941/no-free-lunch,3.8,-1,"Trad, Sport",5.10c/d,1,100,35.91263,-81.88769
"Flappin' In the Breeze","Flapping.../Nuclear arms area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106587153/flappin-in-the-breeze,3.5,-1,"Trad, Sport",5.10a,3,300,35.449,-82.2143
"Fine Line","Flakeview Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106777936/fine-line,3.1,-1,Trad,5.10c,1,120,35.449,-82.2143
"Groover (Gaskin Finish)","Laurel Knob > North Carolina",https://www.mountainproject.com/route/105951288/groover-gaskin-finish,3.8,-1,Trad,5.8+,6,900,35.1503,-83.0564
Lakeview,"Lakeview Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/105945079/lakeview,3.4,-1,"Trad, Sport",5.10b,2,165,35.449,-82.2143
"Dum Dee Dum Dum","Nose Area > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105939142/dum-dee-dum-dum,3.2,-1,Trad,"5.10c PG13",4,230,35.30474,-82.79538
"Dirty Crack","Stone Mountain South Face > Stone Mountain > North Carolina",https://www.mountainproject.com/route/105930048/dirty-crack,2.5,-1,Trad,5.8,1,150,36.3916,-81.0473
Supercrack,"Shortoff Mountain > Linville Gorge > North Carolina",https://www.mountainproject.com/route/107771041/supercrack,4.0,-1,Trad,5.11d,3,300,35.8314,-81.9026
"The Fat Lady","Lower Hawksbill > Hawksbill Mtn > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106075576/the-fat-lady,3.9,-1,Trad,5.11a,2,100,35.91349,-81.88801
"The Sperm","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105874515/the-sperm,2.9,-1,Trad,5.9+,4,350,35.30546,-82.79093
Encore,"Lower Hawksbill > Hawksbill Mtn > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106075582/encore,3.9,-1,Trad,5.11b,1,100,35.91349,-81.88801
"If You Bolt It They Will Come","Middle Hawksbill > Hawksbill Mtn > Linville Gorge > North Carolina",https://www.mountainproject.com/route/107681661/if-you-bolt-it-they-will-come,2.7,-1,Sport,5.10a,1,90,35.91263,-81.88769
"Warpin Endorphin","The Dump (Routes) > The Dump > North Carolina",https://www.mountainproject.com/route/109687936/warpin-endorphin,3.6,-1,"Trad, TR","5.11c X",1,60,36.0971,-81.7719
"Groover Variation (Fischesser Finish)","Laurel Knob > North Carolina",https://www.mountainproject.com/route/105951265/groover-variation-fischesser-finish,3.7,-1,Trad,5.8,9,1320,35.1503,-83.0564
"Pooh Corner","Hanging Garden > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106874929/pooh-corner,3.6,-1,Trad,5.11a,1,60,36.39624,-80.28668
"Blast in Black","Section 4 > Rocky Face Recreational Area > North Carolina",https://www.mountainproject.com/route/108540246/blast-in-black,2.5,-1,Sport,5.9+,1,50,35.96367,-81.11972
"Killer Whales","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/106777973/killer-whales,2.9,-1,Trad,5.11a,1,70,35.30546,-82.79093
"Walk The Plank","Upper Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/106926973/walk-the-plank,2.6,-1,Trad,5.8,1,80,36.099,-81.7815
"Born to Crimp","Amphitheater > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/109770639/born-to-crimp,2.5,-1,Sport,5.10b,1,50,36.3402,-80.48356
"Unknown 5.8 (splitter hand crack)","Cereal Buttress > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/107015382/unknown-58-splitter-hand-crack,2.7,-1,Trad,5.8,1,70,35.44955,-82.213
"Breaking Rocks is Hard to Do","The Amphitheater > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106019832/breaking-rocks-is-hard-to-do,2.7,-1,Trad,5.9,1,100,36.3979,-80.2917
"The Odyssey","Sun Wall > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/106520422/the-odyssey,4.0,-1,Trad,5.11-,5,400,35.30308,-82.79529
"Test Pilots","Test Pilots Buttress > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106069637/test-pilots,3.6,-1,Sport,5.11d,1,80,35.449,-82.2143
"Sunny Day","Section 2 > Rocky Face Recreational Area > North Carolina",https://www.mountainproject.com/route/108540528/sunny-day,2.8,-1,Sport,5.8,1,50,35.96386,-81.12042
"The Jigsaw","Little Wilson > North Carolina",https://www.mountainproject.com/route/107265630/the-jigsaw,2.0,-1,Sport,5.8,1,45,36.0885,-81.79303
"Papa Bear","Three Bears > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/106107230/papa-bear,2.4,-1,TR,5.10b,1,40,36.3402,-80.4808
Zodiac,"South Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/105906148/zodiac,2.9,-1,Trad,5.8+,1,200,35.30054,-82.79229
"Wild Kingdom","Fire Wall > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106336862/wild-kingdom,4.0,-1,Trad,"5.11d PG13",2,200,36.3979,-80.2917
"Blind Prophet","Amphitheater > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/107503803/blind-prophet,3.4,-1,Sport,"5.12b/c PG13",1,70,36.3402,-80.48356
"Mr. Henar","Amphitheater > Pilot Mountain > North Carolina",https://www.mountainproject.com/route/107589807/mr-henar,3.4,-1,Sport,"5.12a/b PG13",1,70,36.3402,-80.48356
"Bombay Groove aka Yankee Go Home","Stone Mountain South Face > Stone Mountain > North Carolina",https://www.mountainproject.com/route/107666720/bombay-groove-aka-yankee-go-home,3.9,-1,Sport,"5.10a PG13",2,280,36.3916,-81.0473
"What's Up Doc?","Table Rock > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106135272/whats-up-doc,3.2,-1,"Trad, Sport","5.10+ PG13",1,95,35.88831,-81.88519
"Dimpsty Dumpster","The Dump (Routes) > The Dump > North Carolina",https://www.mountainproject.com/route/106097230/dimpsty-dumpster,2.1,-1,Sport,5.10,1,25,36.0971,-81.7719
"Stab in the Dark","The Amphitheater > Moore's Wall > North Carolina",https://www.mountainproject.com/route/106361123/stab-in-the-dark,3.1,-1,Trad,5.10+,1,80,36.3979,-80.2917
"Star Trekin'","Main Wall > Hawksbill Mtn > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106820756/star-trekin,3.3,-1,Trad,5.10b,2,200,35.91343,-81.88633
"Overhung and Underrated","Trundlasaurus Wall > Resurgence Walls > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/107312479/overhung-and-underrated,2.6,-1,"Sport, TR",5.8,1,,35.23608,-81.27274
"Hickory Nutcracker","Hickory Nutcracker Area > Rumbling Bald > North Carolina",https://www.mountainproject.com/route/106100372/hickory-nutcracker,3.5,-1,Trad,5.10+,1,70,35.449,-82.2143
"Maiden Voyage","Upper Tier > Ship Rock > North Carolina",https://www.mountainproject.com/route/106881140/maiden-voyage,3.1,-1,Trad,5.9,1,70,36.099,-81.7815
"Jeep's Chimney","Lower Hawksbill > Hawksbill Mtn > Linville Gorge > North Carolina",https://www.mountainproject.com/route/106251142/jeeps-chimney,3.6,-1,Trad,5.10a/b,1,100,35.91349,-81.88801
"Slimen Hymen","The Dump (Routes) > The Dump > North Carolina",https://www.mountainproject.com/route/106562221/slimen-hymen,1.8,-1,Sport,5.10a,1,,36.0971,-81.7719
"Waste Not, Want Not","North Side > Looking Glass Rock > North Carolina",https://www.mountainproject.com/route/106736482/waste-not-want-not,3.7,-1,Trad,5.12,1,80,35.30546,-82.79093
"Burn Crack","Practice Wall > Main Climbing Areas > Crowders Mountain > North Carolina",https://www.mountainproject.com/route/106369722/burn-crack,3.3,-1,Trad,5.10c,1,40,35.23235,-81.27513
"Pseudo Hardmen","Middle Hawksbill > Hawksbill Mtn > Linville Gorge > North Carolina",https://www.mountainproject.com/route/107614653/pseudo-hardmen,2.8,-1,Sport,5.11a,1,80,35.91263,-81.88769
