Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Scrub-a-Dub-Dub,"Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113201588/scrub-a-dub-dub,2.5,-1,Sport,5.9,1,,39.91546,-83.86007
"Slippery When Wet","Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113109467/slippery-when-wet,3.3,-1,Sport,5.10a,1,40,39.91546,-83.86007
Slingshot,"Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113213933/slingshot,2.5,-1,Sport,5.8,1,,39.91506,-83.85918
"The Crack","Main Wall > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105992553/the-crack,3.3,-1,TR,5.9,1,40,41.21978,-81.70137
"6 pack","Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113533042/6-pack,2.5,-1,Sport,5.9,1,30,39.91546,-83.86007
"Slappy McCracken","Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113138344/slappy-mccracken,2.6,-1,Sport,5.10-,1,,39.91506,-83.85918
Recycler,"Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113106584/recycler,3.7,-1,Sport,5.12b,1,45,39.91546,-83.86007
J-Ella,"Dad's Wall (aka Glass Buttress) > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113098494/j-ella,2.5,-1,Sport,5.10b,1,,39.91534,-83.85963
"Built for Business","Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/116981384/built-for-business,4.0,-1,Sport,5.12d,1,50,40.06813,-82.26284
"The Snatch","Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/116724318/the-snatch,4.0,-1,Sport,5.12c,1,30,39.91546,-83.86007
"Ohio Climbing Disorder (aka OCD)","Mollies Rock > Tri-Valley Wildlife Area > Central Ohio > Ohio",https://www.mountainproject.com/route/116160664/ohio-climbing-disorder-aka-ocd,4.0,-1,Sport,5.12c,1,40,40.07037,-81.93323
"Buzzard Direct","Main Wall > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/113383271/buzzard-direct,4.0,-1,TR,5.12a,1,,41.21978,-81.70137
Smokey,"Overpass Wall > Overpass Area > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113097796/smokey,3.4,-1,Sport,5.10b,1,,39.91476,-83.85385
"Battlement Lefty","The East Wall > Eden Park > Southwest Ohio > Ohio",https://www.mountainproject.com/route/112035865/battlement-lefty,4.0,-1,TR,5.10b,1,25,39.11168,-84.4923
"Ascending Loon","Berea Falls > Northeast Ohio > Ohio",https://www.mountainproject.com/route/117741031/ascending-loon,4.0,-1,TR,5.10a,1,25,41.37798,-81.86573
"Murphy's Law","Berea Falls > Northeast Ohio > Ohio",https://www.mountainproject.com/route/117753634/murphys-law,4.0,-1,TR,5.9+,1,25,41.37798,-81.86573
"Baby steps","Kiedaisch Point > Southeast Ohio > Ohio",https://www.mountainproject.com/route/116641102/baby-steps,4.0,-1,Sport,"5.10b PG13",1,45,39.68304,-80.86764
"And Now For Something Completely Different","Main Wall > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/113383258/and-now-for-something-completely-different,4.0,-1,TR,5.12a,1,,41.21978,-81.70137
Pucker&Pray,"Brady’s Bluff > Tri-Valley Wildlife Area > Central Ohio > Ohio",https://www.mountainproject.com/route/114803984/puckerpray,4.0,-1,TR,5.11b,1,20,40.01041,-81.97361
"apple from the tree","Kiedaisch Point > Southeast Ohio > Ohio",https://www.mountainproject.com/route/112515376/apple-from-the-tree,4.0,-1,Sport,"5.12- PG13",1,35,39.68304,-80.86764
"Crumb snatcher","Kiedaisch Point > Southeast Ohio > Ohio",https://www.mountainproject.com/route/113775004/crumb-snatcher,4.0,-1,Sport,5.10b,1,40,39.68304,-80.86764
"Wu Who","Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/115437970/wu-who,3.1,-1,Sport,5.9,1,25,39.91506,-83.85918
"Unknown 4","Big Wall > Beach City Nature Preserve > Northeast Ohio > Ohio",https://www.mountainproject.com/route/108132190/unknown-4,4.0,-1,TR,"5.12a PG13",1,40,40.61447,-81.61437
Shruti,"Harmony Wall > Paint Creek State Park > Southwest Ohio > Ohio",https://www.mountainproject.com/route/108079397/shruti,4.0,-1,TR,5.12c,1,40,39.25199,-83.34973
"Casual Business","Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/116981260/casual-business,3.6,-1,Sport,5.11a,1,55,40.06813,-82.26284
Bangarang,"Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113137214/bangarang,2.6,-1,Sport,5.10a/b,1,,39.91506,-83.85918
"Left Eye","Trash Shoot Area > MRG Southwest (aka Taylor Property) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/114091521/left-eye,3.6,-1,Sport,5.10c,1,,39.91483,-83.86434
"Christ Died Crack","Christ Died > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105994130/christ-died-crack,3.1,-1,"Trad, TR",5.8,1,40,41.21749,-81.70044
"Super Dads","Dad's Wall (aka Glass Buttress) > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113098293/super-dads,2.9,-1,Sport,5.10b,1,,39.91534,-83.85963
"The Arete","Island > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105992494/the-arete,3.1,-1,TR,5.10b/c,1,40,41.2213,-81.6995
"The End of Poison Ivy","Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/116983829/the-end-of-poison-ivy,3.7,-1,Trad,5.8+,1,60,40.06813,-82.26284
"The Tube","Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/116981221/the-tube,3.7,-1,Sport,5.12b/c,1,35,40.06813,-82.26284
"Squeeze Box","Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/114303578/squeeze-box,3.1,-1,Sport,5.10a/b,1,40,39.91546,-83.86007
"Bush League","Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/117336232/bush-league,3.7,-1,Sport,5.11c,1,30,40.06813,-82.26284
"CTB- Crazy Trailer Bitch","Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113098246/ctb-crazy-trailer-bitch,2.7,-1,Sport,5.10b,1,,39.91506,-83.85918
"Jeni's Double Dip","Scioto Audubon Metro Park > Central Ohio > Ohio",https://www.mountainproject.com/route/108341115/jenis-double-dip,2.8,-1,"Sport, TR",5.8,1,35,39.94883,-83.00937
"Razor Ledge","Overpass Wall > Overpass Area > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/117798783/razor-ledge,3.5,-1,Sport,5.12a,1,35,39.91476,-83.85385
"1886 Arete","Mollies Rock > Tri-Valley Wildlife Area > Central Ohio > Ohio",https://www.mountainproject.com/route/114803807/1886-arete,3.5,-1,Sport,5.11a,1,45,40.07037,-81.93323
Snoopy,"Main Wall > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105992577/snoopy,3.4,-1,TR,5.10+,1,40,41.21978,-81.70137
"Roadside Distraction","Overpass Wall > Overpass Area > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113097805/roadside-distraction,3.3,-1,Trad,5.8,1,,39.91476,-83.85385
Dunes,"Island > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105992513/dunes,3.3,-1,TR,5.10+,1,60,41.2213,-81.6995
Steve-O,"Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113228526/steve-o,2.8,-1,Sport,5.11a,1,,39.91546,-83.86007
"Highway to Hell","Mollies Rock > Tri-Valley Wildlife Area > Central Ohio > Ohio",https://www.mountainproject.com/route/116160348/highway-to-hell,3.5,-1,Sport,5.12a,1,40,40.07037,-81.93323
"Recyclable Stone","Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113228437/recyclable-stone,3.5,-1,Sport,5.11b,1,,39.91546,-83.86007
Zumunda,"Kiedaisch Point > Southeast Ohio > Ohio",https://www.mountainproject.com/route/112501643/zumunda,3.5,-1,Sport,5.10,1,35,39.68304,-80.86764
"Nipple Route/Balance Beam","Big Wall > Beach City Nature Preserve > Northeast Ohio > Ohio",https://www.mountainproject.com/route/108132177/nipple-routebalance-beam,3.5,-1,TR,5.10a,1,45,40.61447,-81.61437
"Silver Streaks","Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/116983736/silver-streaks,3.1,-1,Sport,5.9,1,60,40.06813,-82.26284
"Footloose and Finger Free","3. Right Main Wall > Big Cliffs > Logtown > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105959741/footloose-and-finger-free,2.4,-1,Sport,"5.9 PG13",1,40,40.77932,-80.78356
"Jugs for Thugs","Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/116981356/jugs-for-thugs,3.2,-1,Sport,5.11a,1,30,40.06813,-82.26284
Buzzard,"Main Wall > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105992565/buzzard,3.0,-1,TR,5.10c,1,40,41.21978,-81.70137
"The Cave","Main Wall > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105994149/the-cave,3.3,-1,"TR, Boulder","5.10+ V3+ PG13",1,40,41.21978,-81.70137
"O Wall","Christ Died > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105994122/o-wall,3.3,-1,TR,5.11a/b,1,40,41.21749,-81.70044
"Snoopy Center","Main Wall > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/113383267/snoopy-center,3.3,-1,TR,5.11b,1,,41.21978,-81.70137
"Sandy River Blues","Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113707378/sandy-river-blues,3.2,-1,Trad,5.9,1,30,39.91546,-83.86007
"Flake Face","Big Wall > Beach City Nature Preserve > Northeast Ohio > Ohio",https://www.mountainproject.com/route/108132112/flake-face,3.3,-1,TR,5.10a,1,40,40.61447,-81.61437
Genesis,"Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/115408278/genesis,3.2,-1,Sport,5.12a,1,40,40.06813,-82.26284
"Drop Zone","Overpass Wall > Overpass Area > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/117798856/drop-zone,3.3,-1,Sport,5.8,1,40,39.91476,-83.85385
"The Thurmanator","Scioto Audubon Metro Park > Central Ohio > Ohio",https://www.mountainproject.com/route/108370640/the-thurmanator,3.0,-1,"Sport, TR",5.10c,1,30,39.94883,-83.00937
"What Tiggers Do Best","Pooh's Corner > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/117605571/what-tiggers-do-best,3.3,-1,Sport,5.9,1,30,39.91514,-83.85865
