Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Crazy Alice","Zoo Wall > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105860080/crazy-alice,3.5,-1,Trad,5.8,1,60,34.69731,-98.66948
"Mr. Clean","Lower Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105914923/mr-clean,3.4,-1,Trad,5.8,1,65,34.7486,-98.5273
"Foolish Behavior","Upper Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105897861/foolish-behavior,3.4,-1,Trad,"5.10a PG13",1,70,34.746,-98.5316
"Worm Hole","Echo Dome > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105914632/worm-hole,2.6,-1,Sport,5.8,1,70,34.72599,-98.73486
"Dr. Coolhead","Zoo Wall > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105861339/dr-coolhead,3.3,-1,"Trad, TR","5.10d X",1,60,34.69731,-98.66948
"Frosted Flakes","Echo Dome > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105914655/frosted-flakes,2.9,-1,Sport,5.9,1,70,34.72599,-98.73486
"Come and Get Your Love","Lost Dome > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105901641/come-and-get-your-love,2.9,-1,Sport,5.10a,1,70,34.72377,-98.7491
"Aerial Anticipation","Aerial Anticipation > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105861357/aerial-anticipation,3.7,-1,Sport,5.11c,1,60,34.69784,-98.66944
"Ladybugs and Gentlemen","Echo Dome > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105914650/ladybugs-and-gentlemen,2.9,-1,Sport,5.9+,1,,34.72599,-98.73486
"Repeat After Me","Lower Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105892450/repeat-after-me,3.4,-1,Sport,"5.10c PG13",1,50,34.7486,-98.5273
"Rap Bolters from Hell","Lost Dome > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105901650/rap-bolters-from-hell,3.8,-1,Sport,5.12a,1,75,34.72377,-98.7491
"Little Sherman Creature Crack","Echo Dome > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105914638/little-sherman-creature-crack,3.0,-1,Trad,5.8,1,70,34.72599,-98.73486
"Amazon Woman","South America > Quartz Mountain > Oklahoma",https://www.mountainproject.com/route/105887995/amazon-woman,3.8,-1,Sport,5.10a/b,1,130,34.8913,-99.3014
Spaceballs,"Lichen Wall > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105872778/spaceballs,4.0,-1,Sport,5.11a,1,,34.6959,-98.6681
S-Wall,"Snakes Head / S Wall > Quartz Mountain > Oklahoma",https://www.mountainproject.com/route/105887609/s-wall,3.8,-1,Sport,"5.9 R",2,220,34.89826,-99.3335
"Power Series","East Face > Crab Eyes > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105901617/power-series,3.5,-1,Trad,5.10c,1,75,34.72238,-98.74631
"Fantasy Roof","Zoo Wall > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105862898/fantasy-roof,3.1,-1,"Trad, TR",5.8,1,45,34.69731,-98.66948
