Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Autumn Arch","g. Autumn Arch Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107379077/autumn-arch,3.5,-1,Sport,5.10b,1,85,39.91868,-76.37749
"Mental As Anything","k. Hydroman Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107375223/mental-as-anything,3.0,-1,Sport,5.9+,1,,39.92007,-76.37857
Jenga,"d. Zorro Wall > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106540876/jenga,2.8,-1,Sport,5.10a,1,50,40.24948,-75.82397
"Orange Sunshine","b. Orange Sunshine Wall > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106381417/orange-sunshine,2.7,-1,Sport,5.8,1,,40.24981,-75.82323
"Safe Harbor Direct","c Electric Co. Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107385296/safe-harbor-direct,2.7,-1,Sport,5.9+,1,50,39.91599,-76.37581
"Itching to Climb","a. Main Wall > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106381102/itching-to-climb,2.6,-1,Sport,5.8,1,40,40.24965,-75.82247
"Electric Co.","c Electric Co. Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107394667/electric-co,2.7,-1,Sport,5.10b,1,30,39.91599,-76.37581
Hydroman,"k. Hydroman Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107375220/hydroman,3.3,-1,Sport,5.11a,1,,39.92007,-76.37857
"Public Service","c Electric Co. Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107383254/public-service,2.3,-1,Sport,5.8+,1,74,39.91599,-76.37581
Jay's,"b. Orange Sunshine Wall > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106381423/jays,2.6,-1,Sport,5.10,1,,40.24981,-75.82323
Locomotion,"g. Autumn Arch Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107379180/locomotion,3.0,-1,Sport,5.10a,1,,39.91868,-76.37749
"Virgin Suicides","i. Sun Wall (Long Slabs) > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106607810/virgin-suicides,2.9,-1,Sport,5.9+,2,140,40.25149,-75.82395
"Laid Back and Well Hung","f. Big Wall > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106381287/laid-back-and-well-hung,2.9,-1,Sport,5.11c,1,,40.24988,-75.82491
"Face O Meter","d. Zorro Wall > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106381198/face-o-meter,2.4,-1,Sport,5.10a,1,,40.24948,-75.82397
"Super Slab","f. Super Slab Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107489926/super-slab,3.0,-1,Sport,5.10d,1,90,39.91766,-76.37693
"Eminant Domain","g. Autumn Arch Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107394697/eminant-domain,2.3,-1,Sport,5.9,1,80,39.91868,-76.37749
"Two Pines","c Electric Co. Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107385153/two-pines,2.1,-1,Sport,5.8,1,64,39.91599,-76.37581
"Adopted Son","k. Hydroman Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107375208/adopted-son,2.2,-1,Sport,5.9,1,,39.92007,-76.37857
"Slab Master","f. Super Slab Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107458083/slab-master,2.8,-1,Sport,5.9,1,75,39.91766,-76.37693
"Under Fire","c Electric Co. Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107441415/under-fire,2.2,-1,"Sport, TR",5.9,1,30,39.91599,-76.37581
"Face is Great - Choss is Off","d. Zorro Wall > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106920816/face-is-great-choss-is-off,1.8,-1,Sport,5.8,1,,40.24948,-75.82397
"Hinterland (first pitch)","f. Big Wall > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106381327/hinterland-first-pitch,2.6,-1,Sport,5.10c,1,,40.24988,-75.82491
Groovin',"f. Big Wall > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107331227/groovin,3.5,-1,Sport,5.11d,1,80,40.24988,-75.82491
