Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Land Down Under","The Quarry > Snake Den > Rhode Island",https://www.mountainproject.com/route/111851880/the-land-down-under,3.5,-1,TR,5.8,1,40,41.84754,-71.53425
"No exposure","Zeezus Wall > Rocky Point > Rhode Island",https://www.mountainproject.com/route/112389896/no-exposure,3.0,-1,"TR, Boulder","5.10a V0",1,25,41.68924,-71.36946
Halloween,"Halloween. > Mt. Tom > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/107029818/halloween,3.0,-1,TR,"5.12c PG13",1,25,41.5701,-71.7327
"Oh Mandy","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/117994670/oh-mandy,3.0,-1,"Sport, TR",5.9,1,40,41.56924,-71.77669
"Toe or Throw","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/117994778/toe-or-throw,3.0,-1,"Sport, TR",5.10,1,35,41.56924,-71.77669
"Latex Sheath","Goat Rock > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/112474761/latex-sheath,2.5,-1,TR,5.11+,1,30,41.89878,-71.42737
"Diagonal Climb","Main Wall > Main Wall > Mt. Tom > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/108110141/diagonal-climb,2.0,-1,TR,5.8-,1,30,41.5701,-71.7327
"Unknown 5.9","Main Wall > Main Wall > Mt. Tom > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/108110124/unknown-59,2.0,-1,"Trad, TR",5.9,1,30,41.5701,-71.7327
"Unknown 5.10","Main Wall > Main Wall > Mt. Tom > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/108110133/unknown-510,2.0,-1,TR,5.10-,1,30,41.5701,-71.7327
"Zero Gravity","Goat Rock > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/112474709/zero-gravity,2.0,-1,TR,5.11+,1,25,41.89878,-71.42737
"Rocky the lobster","Zeezus Wall > Rocky Point > Rhode Island",https://www.mountainproject.com/route/112389767/rocky-the-lobster,1.7,-1,TR,5.9,1,,41.68924,-71.36946
"The Original Route","Goat Rock > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/112484875/the-original-route,1.5,-1,TR,5.9+,1,25,41.89878,-71.42737
"5.8 Crack","Goat Rock > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/112496134/58-crack,1.0,-1,TR,5.8,1,25,41.89878,-71.42737
Unknown,"Goat Rock > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/112496141/unknown,1.0,-1,TR,5.8,1,20,41.89878,-71.42737
"Unknown Slab","Goat Rock > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/112496154/unknown-slab,1.0,-1,TR,5.9+,1,18,41.89878,-71.42737
