Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Sifuentes Weber","Aguja Frey > Frey > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/106145175/sifuentes-weber,3.7,-1,"Trad, Alpine",5.9,4,300,-41.206,-71.4915
"Diedro de Jim (5)","Aguja Frey > Frey > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/106235139/diedro-de-jim-5,3.4,-1,"Trad, Alpine",5.8,2,200,-41.206,-71.4915
"Via dos Italianos","Pao de Acucar (Sugarloaf) > Urca (Pao de Acucar area) > Rio de Janeiro > Brazil > South America > International",https://www.mountainproject.com/route/107546273/via-dos-italianos,3.9,-1,Sport,5.10-,9,700,-22.9499,-43.1591
"Del Diedro","Aguja M2 > Frey > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/106431942/del-diedro,3.7,-1,Trad,5.9,1,90,-41.206,-71.4915
"Al Centro y Adentro","Anfiteatro > Valle Cochamó > Chile > South America > International",https://www.mountainproject.com/route/107543420/al-centro-y-adentro,4.0,-1,Trad,5.11c,12,1500,-41.4117,-72.1247
Imagínate,"Campanile Esloveno > Frey > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/106140727/imaginate,3.9,-1,Trad,5.10,5,,-41.206,-71.4915
"Lost Fingers","Aguja Frey > Frey > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/107449548/lost-fingers,3.8,-1,"Trad, Alpine",5.10c,3,300,-41.206,-71.4915
"Objetivo Luna","El Cohete Lunar > Frey > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/106396113/objetivo-luna,3.7,-1,"Trad, Alpine",5.10c,8,900,-41.206,-71.4915
"No Hay Hoyes","Pared Silverback > Valle Trinidad > Valle Cochamó > Chile > South America > International",https://www.mountainproject.com/route/108203693/no-hay-hoyes,3.8,-1,Trad,5.11a,6,650,-41.4364,-72.1082
Socotroco,"Aguja M2 > Frey > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/106072493/socotroco,3.6,-1,Trad,5.10,1,25,-41.206,-71.4915
"Ruta Normal","Torre Principal > Frey > San Carlos de Bariloche > Rio Negro > Argentina > South America > International",https://www.mountainproject.com/route/107408863/ruta-normal,3.4,-1,Trad,5.10a,5,400,-41.206,-71.4915
"E.Z. Does It","Cerro Trinidad > Valle Cochamó > Chile > South America > International",https://www.mountainproject.com/route/107158704/ez-does-it,3.7,-1,Trad,5.10+,9,900,-41.42521,-72.09706
