Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Big Rock Candy Arete","Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227060/big-rock-candy-arete,3.6,-1,Trad,5.11b/c,1,80,34.95673,-82.79033
"Peelin' Feelin'","Main Face > Table Rock > South Carolina",https://www.mountainproject.com/route/108515987/peelin-feelin,4.0,-1,Trad,"5.10c/d PG13",2,250,35.05025,-82.70122
"Stone Wall Action","Main Face > Table Rock > South Carolina",https://www.mountainproject.com/route/108603499/stone-wall-action,3.8,-1,Trad,5.11,4,400,35.05025,-82.70122
"Black Bug (aka The Dihedral)","Inversion Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227188/black-bug-aka-the-dihedral,3.7,-1,Trad,5.10+,1,30,34.95624,-82.7914
"Vomitous Maximus","Main Face > Table Rock > South Carolina",https://www.mountainproject.com/route/116109672/vomitous-maximus,4.0,-1,Trad,5.12a,1,160,35.05025,-82.70122
"Tom and Jerry","Watergroove Wall > Table Rock > South Carolina",https://www.mountainproject.com/route/114031397/tom-and-jerry,4.0,-1,Trad,5.11-,1,180,35.05224,-82.6994
"Silent But Violent","Main Face > Table Rock > South Carolina",https://www.mountainproject.com/route/113854035/silent-but-violent,4.0,-1,Trad,5.11c,2,300,35.05025,-82.70122
"Meth Face aka Shadow Boxing","Featureless Twins > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227552/meth-face-aka-shadow-boxing,4.0,-1,"Trad, TR",5.12c,1,60,34.95629,-82.79023
"S Crack","Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116223777/s-crack,3.1,-1,Trad,5.10,1,80,34.95673,-82.79033
"Picken & Grinnin'","Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116216469/picken-grinnin,3.1,-1,Trad,5.11,1,60,34.95673,-82.79033
"Big Rock Candy Direct","Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227099/big-rock-candy-direct,2.9,-1,Trad,5.10c/d,1,40,34.95673,-82.79033
"Bosched Job","Watergroove Wall > Table Rock > South Carolina",https://www.mountainproject.com/route/114031346/bosched-job,3.3,-1,Trad,"5.9+ PG13",1,190,35.05224,-82.6994
"Mental Misstep","X-Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116216481/mental-misstep,3.2,-1,Sport,5.10b,1,100,34.95763,-82.78708
"Free Ranged","Upper Shaman Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227971/free-ranged,3.2,-1,"Sport, TR",5.11a,1,45,34.95658,-82.79115
Wondercrack,"Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116216406/wondercrack,2.9,-1,Trad,5.9+,2,100,34.95673,-82.79033
"Stellar Slab","Lower Shaman Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116215994/stellar-slab,2.8,-1,Sport,5.11-,1,60,34.95623,-82.79091
"The Flake","Lower Shaman Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227365/the-flake,2.9,-1,"Trad, TR",5.11,1,25,34.95623,-82.79091
"Triple F","Arch Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227234/triple-f,3.0,-1,Sport,5.10,1,60,34.95684,-82.78811
