Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Last of the Mohicans","Indian Wars Wall > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/105905537/last-of-the-mohicans,3.9,-1,Sport,5.12a,1,45,44.33171,-103.9001
Cerberus,"Tricouni Nail/Cerberus > Tenpins/Switchbacks > Custer State Park > South Dakota",https://www.mountainproject.com/route/105714761/cerberus,3.8,-1,Trad,5.8,1,70,43.84004,-103.53593
"Garfield Goes To Washington","White House Wall > Emancipation > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714800/garfield-goes-to-washington,3.7,-1,Trad,5.8,3,400,43.8807,-103.4619
"Kamps Crack (Classic Crack)","Inner Outlet > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/105714842/kamps-crack-classic-crack,3.7,-1,Trad,5.8-,1,120,43.84769,-103.56814
Yippey-Kay-Yay,"Lady In Red > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/105868471/yippey-kay-yay,3.6,-1,Sport,5.10b,1,70,44.34445,-103.92646
"Baba Cool","Chopping Block > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714854/baba-cool,3.6,-1,Sport,5.9+,1,60,43.88538,-103.46937
Waves,"Shipyard Rock > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714728/waves,3.6,-1,Sport,5.8,2,180,43.8864,-103.46677
"Peace Pipe","Trail of Tears Wall > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/107015736/peace-pipe,3.5,-1,Sport,5.10c,1,100,44.33171,-103.9001
"Pointy Little Devil","Shakers > Monster North > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106668127/pointy-little-devil,3.5,-1,Sport,5.8,1,115,43.88366,-103.46281
"Valdez Overhang","Chopping Block > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714995/valdez-overhang,3.4,-1,"Sport, TR",5.9,1,40,43.88538,-103.46937
"Pakistani Route","Big Black Face > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106138388/pakistani-route,3.4,-1,Sport,5.9+,1,95,44.29596,-103.89038
"Star Dancer","Middle Marker Area > Marker > Magna Carta > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714743/star-dancer,3.4,-1,"Sport, TR",5.8,1,105,43.88242,-103.46227
"God's Own Drunk","Khayyam Spire > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/105715235/gods-own-drunk,3.6,-1,Trad,5.9-,2,320,43.8481,-103.5344
"Bugs Bunny","The Bunny Slope > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106460410/bugs-bunny,3.2,-1,Sport,5.8,1,60,44.29596,-103.89038
"Mr. Critical","Hornets Nest > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105881013/mr-critical,3.9,-1,Sport,5.11,1,140,43.8864,-103.467
"Totally Flaked","Head Shop Wall > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106263982/totally-flaked,3.1,-1,Sport,5.10a,1,,44.33171,-103.9001
Evergreen,"Pine Tree Rock > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105820050/evergreen,3.7,-1,Sport,5.9,1,140,43.88486,-103.46835
"Pelican's Dike-ination","Borneo > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715559/pelicans-dike-ination,3.2,-1,Sport,5.10c,1,100,43.88703,-103.46865
"The Sundance","The Prow > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106886941/the-sundance,3.5,-1,Sport,5.10b,1,80,44.29596,-103.89038
"Paha   Sapa aka ""Chockstoned""","Trail of Tears Wall > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/107165465/paha-sapa-aka-chockstoned,3.1,-1,Sport,5.9,1,60,44.33171,-103.9001
"Shark Bait","Sharks Fin > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714914/shark-bait,2.9,-1,Sport,5.8,1,90,43.88628,-103.4668
Carp,"The Fishbowl > Blue Sky > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/105876102/carp,3.9,-1,Sport,5.10c,1,60,44.35135,-103.90765
"Bolts for Bobs","Borneo > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105714737/bolts-for-bobs,2.5,-1,Sport,5.8,1,40,43.88703,-103.46865
"The Euphamiah Beresford Memorial","Euphamiah Beresford Memorial Wall a.k.a. ""The Butt Rocks Wall"" > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/107113155/the-euphamiah-beresford-memorial,3.8,-1,Sport,5.11a,1,70,44.29596,-103.89038
"Just Jugs","Veiny > North Park > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106467605/just-jugs,2.8,-1,Sport,5.8,1,60,43.88661,-103.46966
"Waste Knot","Ephel Duath > Towers of Teeth > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/108244256/waste-knot,3.8,-1,Sport,5.8,1,130,43.84875,-103.57026
"Lead Fillings","Child's Molar > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715361/lead-fillings,3.4,-1,Sport,5.9,1,100,43.88731,-103.46538
"Tasting Time","Indecent Exposure > Blue Sky > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/107089013/tasting-time,3.5,-1,Sport,5.10a,1,90,44.34528,-103.92064
"Everything's Big In Texas","Fat Grandma > Big Picture Gully > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106292493/everythings-big-in-texas,3.4,-1,Sport,5.10a,1,60,44.31726,-103.90147
"The Pollinator","Hornets Nest > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106053031/the-pollinator,3.5,-1,Sport,5.10b/c,1,110,43.8864,-103.467
"Astro Pop","First Wall > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106401359/astro-pop,3.6,-1,Sport,5.11b,1,,44.29596,-103.89038
"Four Little Fishies","Aquarium Rock > Photographers' Peak Area > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/105714929/four-little-fishies,3.7,-1,Sport,5.9,1,130,43.8427,-103.5582
"July 4th","Euphamiah Beresford Memorial Wall a.k.a. ""The Butt Rocks Wall"" > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106478631/july-4th,3.4,-1,Sport,5.10a,1,80,44.29596,-103.89038
"Nantucket Sleighride","Moby Dick > Tenpins/Switchbacks > Custer State Park > South Dakota",https://www.mountainproject.com/route/105715664/nantucket-sleighride,4.0,-1,Trad,"5.10 R",1,150,43.8394,-103.5358
"Doody Direct","Gnomon > Needles Eye Area > Custer State Park > South Dakota",https://www.mountainproject.com/route/105714809/doody-direct,3.5,-1,Trad,5.8,1,70,43.84204,-103.54416
Dragonfly,"Pheromone Wall > Blue Sky > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106933821/dragonfly,3.6,-1,Sport,5.9+,1,70,44.34828,-103.92027
"W.A.S.P. (center variation start)","Hornets Nest > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106049635/wasp-center-variation-start,3.4,-1,"Trad, Sport",5.9+,1,165,43.8864,-103.467
"Badgering the Witness a.k.a. ""The Drilled Sergeant""","The Court House Wall > Shadowlands > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106949735/badgering-the-witness-aka-the-drilled-sergeant,3.5,-1,Sport,5.11a,1,69,44.28338,-103.89865
"All Tuckered Out","Shipyard Rock > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715115/all-tuckered-out,2.9,-1,Sport,5.10b,1,50,43.8864,-103.46677
"Lost Ninja","Big Black Face > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106138396/lost-ninja,2.7,-1,Sport,5.9+,1,100,44.29596,-103.89038
"Sylvester Sidewalk","Land of the Shorties > Sunshine > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106054668/sylvester-sidewalk,2.5,-1,Sport,5.8-,1,60,44.29596,-103.89038
