Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Solstice,"Solstice Cave > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106564957/solstice,3.9,-1,Sport,5.12a,1,70,36.0947,-84.7083
"Holy War","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/108668668/holy-war,3.7,-1,Sport,5.9,1,95,35.19166,-85.69914
Heresy,"Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106812897/heresy,3.7,-1,Sport,5.11c,1,,36.1022,-84.7184
"In Pursuit of Excellence","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105902833/in-pursuit-of-excellence,3.7,-1,Trad,5.9+,1,90,35.07379,-85.40108
"Points O' Contact","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105891939/points-o-contact,3.7,-1,Trad,5.10c,1,80,35.07379,-85.40108
"Cake Walk","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105889130/cake-walk,3.6,-1,Trad,5.10a,1,100,35.07379,-85.40108
"Golden Locks","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105888826/golden-locks,3.6,-1,Trad,5.9,1,100,35.07379,-85.40108
Spawn,"Image Wall > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106111639/spawn,3.6,-1,Sport,5.10b/c,1,90,36.0947,-84.7083
"Standing Room Only","Crime Buttress > Foster Falls > Tennessee",https://www.mountainproject.com/route/106617956/standing-room-only,3.6,-1,Sport,5.11a,1,80,35.17729,-85.68215
"Finger Lockin' Good","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105892674/finger-lockin-good,3.5,-1,Trad,5.10b/c,1,90,35.07379,-85.40108
"Pale Face","The Balcony > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099127/pale-face,3.5,-1,Sport,5.11a,1,90,36.0947,-84.7083
"Stan's Crack","Sunset North > Sunset Park > Tennessee",https://www.mountainproject.com/route/105957464/stans-crack,3.6,-1,Trad,5.8+,2,90,34.9992,-85.3554
Passages,"T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105894863/passages,3.5,-1,Trad,5.8,1,90,35.07379,-85.40108
"Something's Always Wrong","The Right Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/107301050/somethings-always-wrong,3.5,-1,Sport,5.10d,1,80,35.17899,-85.67917
Ruben,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/109079486/ruben,3.4,-1,Sport,5.9,1,90,35.17715,-85.68247
"Precious Orr","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105903333/precious-orr,3.5,-1,Trad,5.10-,1,70,35.07379,-85.40108
Art,"T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105935012/art,3.4,-1,Trad,5.8,1,80,35.07379,-85.40108
Pillsbury,"The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/106006449/pillsbury,3.4,-1,Sport,5.11a,1,,35.1789,-85.67992
"R.J. Gold","Sunset North > Sunset Park > Tennessee",https://www.mountainproject.com/route/105910145/rj-gold,3.5,-1,Trad,5.9,1,90,34.9992,-85.3554
"Whipper Snapper","Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106753704/whipper-snapper,3.4,-1,Sport,5.11a,1,100,36.1022,-84.7184
"Prerequisite for Excellence","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105888371/prerequisite-for-excellence,3.4,-1,Trad,5.8,1,80,35.07379,-85.40108
"Saddam Hussein","North Clear Creek > North Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106090481/saddam-hussein,3.7,-1,Sport,5.11b/c,2,110,36.09595,-84.70764
"Jody's Route (aka The Chris' Route)","Leda > Tennessee",https://www.mountainproject.com/route/105891570/jodys-route-aka-the-chris-route,3.6,-1,Sport,5.10c/d,1,70,35.2356,-85.2265
"Super Slide","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105894874/super-slide,3.4,-1,Trad,5.10b,1,100,35.07379,-85.40108
"Best Seat In The House","The Balcony > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106068973/best-seat-in-the-house,3.3,-1,Sport,5.9,1,85,36.0947,-84.7083
Wristlets,"White Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105978792/wristlets,3.7,-1,Sport,5.11c/d,1,60,35.17953,-85.67775
Tarantella,"Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099156/tarantella,3.3,-1,Sport,5.10a,1,90,36.1022,-84.7184
"Lounge Lizard","Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099182/lounge-lizard,3.3,-1,Sport,5.11b,1,80,36.1022,-84.7184
"Tales of the Sperm","Tieranny Roofs > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/105891976/tales-of-the-sperm,3.6,-1,Sport,5.11b/c,1,85,36.09055,-84.70502
Saturated,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/108440738/saturated,3.1,-1,Sport,5.8,1,90,35.17715,-85.68247
"Clyde the Mega Dude","Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106753714/clyde-the-mega-dude,3.2,-1,Sport,5.11b/c,1,60,36.1022,-84.7184
"Love Handle","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105926879/love-handle,3.2,-1,"Trad, Sport",5.10b,1,80,35.07379,-85.40108
"Fish-eyed Fool","The Sanford Wall > Foster Falls > Tennessee",https://www.mountainproject.com/route/105932718/fish-eyed-fool,3.1,-1,Sport,5.10b,1,70,35.17696,-85.68402
"Razor Worm","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105888820/razor-worm,3.1,-1,Trad,5.8+,1,100,35.07379,-85.40108
"Girls Only","Leda > Tennessee",https://www.mountainproject.com/route/105890340/girls-only,3.1,-1,Sport,5.10a,1,60,35.2356,-85.2265
"Ticks Are For Kids","Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106165650/ticks-are-for-kids,3.0,-1,Sport,5.10a,1,60,36.1022,-84.7184
"Rode Hard, Put Up Wet","Rocket Slab > Foster Falls > Tennessee",https://www.mountainproject.com/route/106099640/rode-hard-put-up-wet,3.0,-1,Sport,5.10d,1,60,35.17669,-85.6842
"Puppy Ride","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105895368/puppy-ride,3.0,-1,Trad,5.9,1,100,35.07379,-85.40108
"Digital Macabre","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105889134/digital-macabre,3.0,-1,Trad,5.10b,1,50,35.07379,-85.40108
"Open Sesame","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105903272/open-sesame,3.3,-1,Trad,5.8+,1,95,35.07379,-85.40108
Christine,"Stephen King Library > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099081/christine,3.0,-1,Sport,5.10a,1,80,36.0947,-84.7083
Narcissism,"The Dihedrals > Foster Falls > Tennessee",https://www.mountainproject.com/route/106099676/narcissism,2.9,-1,Sport,5.10b,1,60,35.1789,-85.67992
"Hidden Assets","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105918859/hidden-assets,3.5,-1,Trad,5.10a,1,100,35.07379,-85.40108
"Dirt Bag","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105903325/dirt-bag,2.9,-1,Trad,5.8,1,90,35.07379,-85.40108
Alchemy,"The Balcony > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106812907/alchemy,3.1,-1,Sport,5.11a,1,50,36.0947,-84.7083
"Pet Semetery","Stephen King Library > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106768073/pet-semetery,2.8,-1,Sport,5.11a,1,40,36.0947,-84.7083
"Jacob's Ladder","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/105892550/jacobs-ladder,2.8,-1,Sport,5.8,1,80,35.18226,-85.67396
"Bear Mountain Picnic","Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/105932699/bear-mountain-picnic,2.8,-1,Sport,5.8+,1,80,35.17715,-85.68247
"Rusty's Crack","Sunset North > Sunset Park > Tennessee",https://www.mountainproject.com/route/105972333/rustys-crack,3.6,-1,Trad,5.10a/b,1,90,34.9992,-85.3554
"Fly with the Falcon","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105891943/fly-with-the-falcon,3.6,-1,Trad,5.11b,1,80,35.07379,-85.40108
"Double Feature","The Balcony > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099092/double-feature,2.8,-1,Sport,5.10c,1,60,36.0947,-84.7083
