Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Liposuction,"Sex Cave > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105865349/liposuction,3.7,-1,Sport,5.12a,1,40,30.3631,-98.1237
"Fear of Flying","East Face of Buzzard's Roost > Buzzard's Roost > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/105902613/fear-of-flying,3.8,-1,Trad,5.10,1,,30.5103,-98.8085
"Owl Crack","Triple Cracks Sanctuary > Echo Canyon > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/105902520/owl-crack,3.3,-1,Trad,5.8+,1,,30.5063,-98.8213
Prototype,"Dr. Seuss / Prototype Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105886196/prototype,3.3,-1,Sport,5.10c,1,,30.3623,-98.125
"Eight Flake","Dr. Seuss / Prototype Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105886184/eight-flake,3.1,-1,Sport,5.8,1,,30.3623,-98.125
"Diving for Rocks","Seismic Wall A.K.A. Maggie's Wall > Barton Creek Greenbelt > Austin Area > Texas",https://www.mountainproject.com/route/106112292/diving-for-rocks,3.1,-1,Sport,5.10d,1,40,30.24535,-97.79986
"Middle Crack","Triple Cracks Sanctuary > Echo Canyon > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/105878318/middle-crack,2.8,-1,Trad,5.8,1,,30.5063,-98.8213
"Over Easy","Seismic Wall A.K.A. Maggie's Wall > Barton Creek Greenbelt > Austin Area > Texas",https://www.mountainproject.com/route/105976833/over-easy,2.8,-1,Sport,5.9,1,40,30.24535,-97.79986
"Mark of the Beast","Devil's Slide > Main Dome > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/105860218/mark-of-the-beast,2.8,-1,Sport,5.8+,3,,30.50849,-98.819
"T-Roofic Detour","T-Roofic Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105905891/t-roofic-detour,3.5,-1,Sport,5.10d,1,,30.3651,-98.1271
"Pro Sweat","News Wall > Main Dome > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/105862585/pro-sweat,2.7,-1,Sport,5.9,1,,30.5077,-98.8198
"Little Feat","East Face of Buzzard's Roost > Buzzard's Roost > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/105984717/little-feat,2.7,-1,Trad,5.9,1,40,30.5103,-98.8085
"My Name is Mud","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105899176/my-name-is-mud,2.5,-1,Sport,5.9,1,,30.3636,-98.1255
Carnival,"Carnival Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/107911073/carnival,3.5,-1,Sport,5.10d,1,30,30.37773,-98.11606
"Through the Looking Glass","The Great Wall > New Wall > Barton Creek Greenbelt > Austin Area > Texas",https://www.mountainproject.com/route/106274567/through-the-looking-glass,3.3,-1,Sport,5.11a,1,55,30.2544,-97.7938
"Bird Dog","Seismic Wall A.K.A. Maggie's Wall > Barton Creek Greenbelt > Austin Area > Texas",https://www.mountainproject.com/route/107120778/bird-dog,2.4,-1,Sport,5.8,1,40,30.24535,-97.79986
"Water Ballet","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105855177/water-ballet,2.6,-1,"Sport, TR",5.10b/c,1,30,30.3636,-98.1255
"Dead Cats","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105897978/dead-cats,2.6,-1,Sport,5.10b/c,1,,30.3636,-98.1255
"Top Choice","Carnivore Boulders > Little Dome > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/106744907/top-choice,3.5,-1,"Trad, TR",5.10-,1,30,30.49822,-98.82783
Crankenstein,"Crankenstein > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/106316680/crankenstein,3.5,-1,Sport,5.11c/d,1,40,30.3612,-98.1254
"Charlie Don't Surf","Kingdom of Ging > Gus Fruh > Barton Creek Greenbelt > Austin Area > Texas",https://www.mountainproject.com/route/106112302/charlie-dont-surf,3.3,-1,Sport,5.10d,1,40,30.25077,-97.79696
"Hello Kitty","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/106325190/hello-kitty,2.3,-1,Sport,5.10a,1,,30.3636,-98.1255
"Yertle the Turtle","Dr. Seuss / Prototype Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/106265548/yertle-the-turtle,3.2,-1,Sport,5.12a,1,50,30.3623,-98.125
"Blowing Smoke at the Monkey","Dr. Seuss / Prototype Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/106314933/blowing-smoke-at-the-monkey,2.6,-1,Sport,5.11b,1,25,30.3623,-98.125
