Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Moonlight Buttress (Free)","Moonlight Buttress > Zion National Park > Utah",https://www.mountainproject.com/route/106138026/the-moonlight-buttress-free,3.9,-1,Trad,5.12+,10,1200,37.27785,-112.94955
"The Moonlight Buttress (Clean Aid)","Moonlight Buttress > Zion National Park > Utah",https://www.mountainproject.com/route/105717718/the-moonlight-buttress-clean-aid,3.9,-1,"Trad, Aid","5.8 C1",10,1200,37.27785,-112.94955
"Stolen Chimney","Ancient Art > Fisher Towers > Moab Area > Utah",https://www.mountainproject.com/route/105717310/stolen-chimney,3.7,-1,"Trad, Aid","5.10 A0",4,,38.72161,-109.30434
"Supercrack of the Desert","Supercrack Buttress > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105717364/supercrack-of-the-desert,3.8,-1,Trad,5.10,3,,38.03635,-109.54552
"Jah Man","Sister Superior Group > Castle Valley > Moab Area > Utah",https://www.mountainproject.com/route/105717373/jah-man,3.9,-1,Trad,5.10c,5,,38.6726,-109.3753
"Fine Jade","The Rectory > Castle Valley > Moab Area > Utah",https://www.mountainproject.com/route/105717322/fine-jade,3.9,-1,Trad,5.11a,5,,38.6571,-109.3678
Namaste,"Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Utah",https://www.mountainproject.com/route/105717892/namaste,3.9,-1,Sport,5.11d,1,140,37.45133,-113.16338
"Incredible Hand Crack","Supercrack Buttress > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105717367/incredible-hand-crack,3.8,-1,Trad,5.10,1,100,38.03635,-109.54552
"Primrose Dihedrals","Moses > Island In The Sky > Moab Area > Utah",https://www.mountainproject.com/route/105717748/primrose-dihedrals,3.9,-1,Trad,5.11+,7,600,38.47567,-109.91054
"Lightning Bolt Cracks","North Six Shooter Peak > Indian Creek > Moab Area > Utah",https://www.mountainproject.com/route/105717598/lightning-bolt-cracks,3.9,-1,Trad,5.11-,1,,38.13741,-109.66805
"North Chimney","Castleton Tower > Castle Valley > Moab Area > Utah",https://www.mountainproject.com/route/105717307/north-chimney,3.6,-1,Trad,5.9,4,,38.651,-109.3678
"Shune's Buttress","Red Arch Mountain > Zion National Park > Utah",https://www.mountainproject.com/route/105880156/shunes-buttress,3.9,-1,Trad,5.11+,8,800,37.25533,-112.94913
"Lowe Route","Question Mark Wall > Lone Peak Cirque > Wasatch Range > Utah",https://www.mountainproject.com/route/105741137/lowe-route,3.9,-1,"Trad, Alpine",5.8,3,,40.52459,-111.75637
