Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Rose","F - North End > Upper West > Bolton Area > Vermont",https://www.mountainproject.com/route/106725856/the-rose,3.9,-1,Trad,5.10a,1,85,44.421,-72.90176
"Hush, Mama Thrush","Lower West Bolton > Bolton Area > Vermont",https://www.mountainproject.com/route/106083774/hush-mama-thrush,3.5,-1,Trad,5.8,1,90,44.38535,-72.91031
"Chockstone (Ledangier)","C - Upper Tier - Right End > Upper West > Bolton Area > Vermont",https://www.mountainproject.com/route/106147002/chockstone-ledangier,3.5,-1,Trad,"5.8- PG13",1,100,44.42839,-72.89961
"Fresh Meat","E - Lower Tier > Upper West > Bolton Area > Vermont",https://www.mountainproject.com/route/107562004/fresh-meat,3.0,-1,Sport,5.10b,1,80,44.42037,-72.90162
"Release the Hens","5. Crime Scene Wall > Bolton Dome > Bolton Area > Vermont",https://www.mountainproject.com/route/116540877/release-the-hens,4.0,-1,Sport,5.11c,1,95,44.37066,-72.85792
"Private Property","B - Upper Tier - Left End > Upper West > Bolton Area > Vermont",https://www.mountainproject.com/route/107294665/private-property,2.4,-1,Sport,5.8+,1,60,44.42012,-72.90173
"The Thorn","F - North End > Upper West > Bolton Area > Vermont",https://www.mountainproject.com/route/107018409/the-thorn,3.8,-1,Trad,5.11a,1,60,44.421,-72.90176
"Stone Staircase","E - Lower Tier > Upper West > Bolton Area > Vermont",https://www.mountainproject.com/route/107560554/stone-staircase,2.4,-1,Sport,5.9,1,70,44.42037,-72.90162
"The Monkey","Deer Leap > Vermont",https://www.mountainproject.com/route/106125932/the-monkey,3.3,-1,Trad,5.8+,1,70,43.6652,-72.833
"The Awesomest","1. West Side > Bolton Dome > Bolton Area > Vermont",https://www.mountainproject.com/route/116540825/the-awesomest,3.7,-1,Sport,5.11d,1,50,44.37123,-72.85883
"Truffle Hog","82 Main Wall > 82 Crag > Bolton Area > Vermont",https://www.mountainproject.com/route/107724530/truffle-hog,3.5,-1,Trad,5.10-,2,160,44.37746,-72.86114
"The Politics of Dancing","82 Main Wall > 82 Crag > Bolton Area > Vermont",https://www.mountainproject.com/route/106800119/the-politics-of-dancing,3.5,-1,Sport,"5.10a PG13",1,160,44.37746,-72.86114
Trespassing,"B - Upper Tier - Left End > Upper West > Bolton Area > Vermont",https://www.mountainproject.com/route/108251614/trespassing,2.7,-1,Sport,5.10a,1,60,44.42012,-72.90173
Paradox,"E - Lower Tier > Upper West > Bolton Area > Vermont",https://www.mountainproject.com/route/107860000/paradox,3.1,-1,Sport,5.11a,1,60,44.42037,-72.90162
"Wild Black","Main Cliff > Black Mountain > Vermont",https://www.mountainproject.com/route/112920451/wild-black,4.0,-1,Trad,5.10a,1,100,44.92158,-71.74202
"Wine and Cheese","Whine and Cheese > Wheeler Mountain > Vermont",https://www.mountainproject.com/route/112127821/wine-and-cheese,4.0,-1,Trad,5.11a,3,300,44.73248,-72.09205
"Before the Dawn","X. Dometop > Bolton Dome > Bolton Area > Vermont",https://www.mountainproject.com/route/116540939/before-the-dawn,4.0,-1,Sport,5.12a,1,80,44.37058,-72.85755
"Who's Your Daddy","Carcass Crag > Bolton Area > Vermont",https://www.mountainproject.com/route/106826361/whos-your-daddy,3.8,-1,Sport,5.12c,1,50,44.3779,-72.88737
"Traffic Jam","Main Cliff > Black Mountain > Vermont",https://www.mountainproject.com/route/113105797/traffic-jam,4.0,-1,Trad,5.9,1,60,44.92158,-71.74202
"Interstate Crack","5. Crime Scene Wall > Bolton Dome > Bolton Area > Vermont",https://www.mountainproject.com/route/116526028/interstate-crack,4.0,-1,Trad,5.11b/c,1,60,44.37066,-72.85792
"The B.I.B.L.E.","Main Cliff > Lone Rock Point > Vermont",https://www.mountainproject.com/route/116097617/the-bible,4.0,-1,Sport,5.13b/c,1,70,44.48835,-73.24902
"The Doggfather","82 Steep Wall > 82 Crag > Bolton Area > Vermont",https://www.mountainproject.com/route/106734690/the-doggfather,3.7,-1,Sport,5.12b,1,65,44.37792,-72.85986
"Crimes of Omission","5. Crime Scene Wall > Bolton Dome > Bolton Area > Vermont",https://www.mountainproject.com/route/116540867/crimes-of-omission,4.0,-1,Sport,5.12b,1,95,44.37066,-72.85792
"Marshfield Corners","Marshfield Ledge > Vermont",https://www.mountainproject.com/route/113512224/marshfield-corners,3.8,-1,Trad,"5.10b PG13",3,300,44.32764,-72.31299
"A Minor","Lower West Bolton > Bolton Area > Vermont",https://www.mountainproject.com/route/106083760/a-minor,2.6,-1,Trad,5.10a,1,70,44.38535,-72.91031
"Groton High Grade","Marshfield Ledge > Vermont",https://www.mountainproject.com/route/105892379/groton-high-grade,4.0,-1,Sport,5.13,1,60,44.32764,-72.31299
Quickbeam,"ENT Gully > Smuggler's Notch > Vermont",https://www.mountainproject.com/route/117728520/quickbeam,4.0,-1,Sport,5.11c,1,80,44.55772,-72.79327
Encryption,"82 Steep Wall > 82 Crag > Bolton Area > Vermont",https://www.mountainproject.com/route/106734776/encryption,3.9,-1,Sport,5.12d,1,65,44.37792,-72.85986
"Mal Bouche","C - Upper Tier - Right End > Upper West > Bolton Area > Vermont",https://www.mountainproject.com/route/109000367/mal-bouche,4.0,-1,Trad,5.12-,1,110,44.42839,-72.89961
"This Ragemeter Goes to 11","Main Cliff > Lone Rock Point > Vermont",https://www.mountainproject.com/route/115311138/this-ragemeter-goes-to-11,4.0,-1,Sport,5.12c,1,50,44.48835,-73.24902
"Black Jesus","Main Cliff > Black Mountain > Vermont",https://www.mountainproject.com/route/115319826/black-jesus,4.0,-1,Trad,5.11a/b,1,65,44.92158,-71.74202
"Flippin the bird","B. Middle Cliff Routes > The Main Cliff > Bone Mountain > Bolton Area > Vermont",https://www.mountainproject.com/route/112047945/flippin-the-bird,4.0,-1,Trad,5.9,2,200,44.38995,-72.84965
"The Great Corner","The Great Corner > Wheeler Mountain > Vermont",https://www.mountainproject.com/route/113310081/the-great-corner,3.8,-1,Trad,5.11a,1,90,44.7326,-72.09117
"Winston Churchill","X. Dometop > Bolton Dome > Bolton Area > Vermont",https://www.mountainproject.com/route/117079326/winston-churchill,4.0,-1,Sport,5.12a,1,80,44.37058,-72.85755
"Team America","82 Steep Wall > 82 Crag > Bolton Area > Vermont",https://www.mountainproject.com/route/107553612/team-america,4.0,-1,Sport,5.12d,1,85,44.37792,-72.85986
