Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Strawberry Fields","Reflector Oven > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/105898326/strawberry-fields,3.7,-1,Trad,5.9+,1,65,38.55,-78.3089
"Leading Should Feel This Way","Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106152673/leading-should-feel-this-way,3.2,-1,Sport,5.10c,1,60,38.9466,-78.3022
"I Love Big Jugs","Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106152665/i-love-big-jugs,2.4,-1,Sport,5.8,1,60,38.9466,-78.3022
Fortis,"Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106152658/fortis,2.6,-1,Sport,5.10a,1,50,38.9466,-78.3022
"Oh My God Dihedral","Middle God's Area-Left > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106006448/oh-my-god-dihedral,3.8,-1,Trad,5.10c,1,70,38.5515,-78.3106
"Lost Arrow","Aid Box > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/106162636/lost-arrow,3.2,-1,"Trad, TR",5.10,1,35,38.98854,-77.24734
"Pulp Friction","Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106337862/pulp-friction,2.6,-1,Sport,5.9-,1,50,38.9422,-78.3017
"Melungian Brotherhood","Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106705551/melungian-brotherhood,2.7,-1,Sport,5.8,1,120,38.9422,-78.3017
"Big Balls","Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106152581/big-balls,2.7,-1,Sport,5.10a/b,1,70,38.9466,-78.3022
"Ne Plus Ultra","Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106152681/ne-plus-ultra,2.1,-1,Sport,5.9,1,60,38.9466,-78.3022
"Ass Cannibal","Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106705564/ass-cannibal,2.5,-1,Trad,5.8,1,130,38.9422,-78.3017
"Pure Energy","Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106152687/pure-energy,2.5,-1,Sport,5.10a,1,40,38.9466,-78.3022
"Anonymous Flake Right","Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106152571/anonymous-flake-right,3.3,-1,"Trad, TR",5.8-,1,100,38.9422,-78.3017
"Bushwhack Crack","Wall That Dreams Are Made Of > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106006398/bushwhack-crack,3.7,-1,Trad,5.10c,1,50,38.54915,-78.30623
Diagonal,"Aid Box > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/106762652/diagonal,2.6,-1,"Trad, TR",5.9,1,40,38.98854,-77.24734
"The Bulge","Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106350799/the-bulge,2.6,-1,Sport,5.9-,1,100,38.9422,-78.3017
"Cornucopia of Delightful Climbing","Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/116654753/cornucopia-of-delightful-climbing,3.9,-1,Sport,5.10c,1,80,37.3013,-82.30045
"Discontinuance (Continuance post-rockfall)","Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/108215071/discontinuance-continuance-post-rockfall,1.8,-1,Sport,5.9,1,40,38.9466,-78.3022
"Report to Sickbay","Reflector Oven > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106006384/report-to-sickbay,3.1,-1,Trad,5.10c,1,100,38.55,-78.3089
"Sunset Crack","Lower Sunset Wall > Sunset Walls > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/107540895/sunset-crack,3.4,-1,Trad,5.11-,1,50,38.5515,-78.3106
#WombLife,"Pinnacle Left > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/114550119/womblife,4.0,-1,Sport,5.12-,1,70,37.12845,-82.41344
Socios,"Pinnacle Left > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/116753183/socios,4.0,-1,Sport,5.13a,1,70,37.12845,-82.41344
"Breaking the Shield","Pinnacle Overlook > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/116722228/breaking-the-shield,4.0,-1,Sport,5.13a,1,70,37.12845,-82.41344
"The Dobie Gillis Route","Skyline Wall (PATC Wall) > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/106006674/the-dobie-gillis-route,2.8,-1,Trad,5.8,1,60,38.5517,-78.3115
"Ponies in The Desert","Desert Pony Buttress > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/114362601/ponies-in-the-desert,4.0,-1,Sport,5.12a,1,80,37.12845,-82.41344
"Crank Up","Cornice > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/109570426/crank-up,4.0,-1,"Trad, TR",5.10,1,60,38.98804,-77.24726
"Power And The Glory","The Rectory > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/111190470/power-and-the-glory,4.0,-1,Sport,5.10b,1,65,36.22928,-81.8214
"Shared Oasis","Desert Pony Buttress > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/114371800/shared-oasis,4.0,-1,Sport,5.11d,1,60,37.12845,-82.41344
M-80,"Microdome > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/109575378/m-80,4.0,-1,"Trad, TR",5.10+,1,40,38.99472,-77.25121
"Spirit Blade","Pinnacle Left > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/115418892/spirit-blade,3.7,-1,Sport,5.10b,1,75,37.12845,-82.41344
"Make It A Double","Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/116737332/make-it-a-double,4.0,-1,Sport,5.12d,1,75,37.3013,-82.30045
Melungeon,"Pinnacle Left > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/115418924/melungeon,4.0,-1,Sport,5.12-,1,70,37.12845,-82.41344
"Breaking a Cold Sweat","State Line 2nd Tier > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/111794307/breaking-a-cold-sweat,4.0,-1,Sport,5.11+,1,60,37.12845,-82.41344
"Early Bird","Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/116731498/early-bird,4.0,-1,Sport,5.11c,1,65,37.3013,-82.30045
"Yo My First First Ascent, Gotta Name It Something Cool... Damn, I Got Nothing","Right Sector > Crescent Rocks > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/116552134/yo-my-first-first-ascent-gotta-name-it-something-cool-damn-i-got-nothing,4.0,-1,TR,5.10b,1,40,39.13925,-77.83794
"Long Cool Drink","Desert Pony Buttress > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/117796957/long-cool-drink,4.0,-1,Sport,5.8,1,75,37.12845,-82.41344
"Hand in the Bush","Ginger Wall > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/114320524/hand-in-the-bush,4.0,-1,Sport,5.11b/c,1,60,37.28702,-82.30551
"Dangerous Goodies","NPR > Mile 3 Routes > (3) Mile Three > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/116512360/dangerous-goodies,4.0,-1,Sport,5.10+,1,80,37.01074,-82.3611
"Swan Song","Wall That Dreams Are Made Of > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/113755498/swan-song,4.0,-1,Trad,5.12a,1,,38.54915,-78.30623
"Christmas In The Trenches","NPR > Mile 3 Routes > (3) Mile Three > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/116192348/christmas-in-the-trenches,4.0,-1,Sport,5.11+,1,90,37.01074,-82.3611
Skylab,"The Space Station > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/118135166/skylab,4.0,-1,Sport,5.10d,1,50,37.28955,-82.30838
Yin-Yang,"Pinnacle Overlook > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/112186997/yin-yang,3.8,-1,Sport,5.12+,1,60,37.12845,-82.41344
"The Crackin","Reflector Oven > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/107455761/the-crackin,4.0,-1,Trad,"5.11d PG13",1,90,38.55,-78.3089
Project,"Right Sector > Crescent Rocks > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/116621700/project,4.0,-1,"Trad, TR",5.13b,1,,39.13925,-77.83794
"5.9 splitter","Mid Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/114358020/59-splitter,4.0,-1,Trad,5.9,1,50,37.28855,-82.30904
