Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Flyboys,"Goat Wall > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/113665378/flyboys,3.1,-1,Sport,5.9,18,1800,48.62285,-120.44865
"Outer Space","Snow Creek Wall > Snow Creek Area > Icicle Creek > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105793664/outer-space,3.8,-1,Trad,5.9,6,700,47.52963,-120.71869
"The Direct North Ridge w/ Gendarme","Mt Stuart > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106245725/the-direct-north-ridge-w-gendarme,3.9,-1,"Trad, Alpine",5.9+,20,2800,47.4773,-120.9022
"Upper North Ridge w/Great Gendarme","Mt Stuart > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106050599/upper-north-ridge-wgreat-gendarme,3.9,-1,"Trad, Alpine",5.9,18,1200,47.4773,-120.9022
"Davis-Holland Route","Central Wall Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105836583/davis-holland-route,3.9,-1,Trad,5.10c,3,400,47.824,-121.5655
"Slow Children","Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105815743/slow-children,3.9,-1,Trad,5.10d,1,100,47.81847,-121.57139
"Acid Baby","Aasgard Pass > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/109928434/acid-baby,3.8,-1,Trad,5.10+,7,1000,47.48369,-120.82188
Godzilla,"Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105790717/godzilla,3.7,-1,Trad,5.9,1,,47.81847,-121.57139
Rattletale,"Rattletale Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106204435/rattletale,3.8,-1,Trad,5.10b,3,,47.8243,-121.5613
"Liberty Crack","Liberty Bell > Washington Pass > North Cascades > Northwest Region > Washington",https://www.mountainproject.com/route/106512297/liberty-crack,3.7,-1,"Trad, Aid, Alpine","5.11a C2",12,1200,48.51548,-120.65874
"Thin Fingers","Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105805741/thin-fingers,3.8,-1,Trad,5.11a,1,120,47.8186,-121.57101
Stanley-Burgner,"Prusik Peak > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105808515/stanley-burgner,3.7,-1,"Trad, Alpine",5.10a,6,500,47.48786,-120.78373
"Iron Horse","Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105903139/iron-horse,3.8,-1,Trad,5.11d,1,120,47.81847,-121.57139
"The West Face","North Early Winter Spire > Washington Pass > North Cascades > Northwest Region > Washington",https://www.mountainproject.com/route/105847147/the-west-face,3.7,-1,"Trad, Alpine",5.11-,6,,48.51291,-120.65557
"Japanese Gardens","Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105791008/japanese-gardens,3.7,-1,Trad,5.11+,1,200,47.81847,-121.57139
"Princely Ambitions","Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105790710/princely-ambitions,3.6,-1,Trad,5.9,2,,47.81847,-121.57139
"Lovin' Arms","Central Wall Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106194690/lovin-arms,3.6,-1,"Trad, Aid","5.10b/c A0",3,,47.824,-121.5655
"Toxic Shock","Toxic - Tang Area > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105791086/toxic-shock,3.6,-1,Trad,5.9,1,,47.81929,-121.57645
