Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Apollo Reed","The Coliseum > Summersville Lake (main) > Summersville Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105989372/apollo-reed,3.9,-1,Sport,5.13a,1,90,38.24146,-80.84583
"Psycho Wrangler","Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106759853/psycho-wrangler,3.9,-1,Sport,5.12a,1,60,38.07788,-81.06338
Legacy,"J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106282216/legacy,3.9,-1,Sport,5.11a,1,90,38.05474,-81.05704
Thunderstruck,"White Wall > Kaymoor > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106820631/thunderstruck,3.9,-1,Sport,5.12b,1,70,38.04953,-81.0704
"Toxic Hueco","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106494909/toxic-hueco,3.9,-1,Sport,5.11d,1,80,38.15323,-80.93233
"Super Crack","7) Thunder Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105949134/super-crack,3.9,-1,Trad,5.9+,1,100,38.05053,-81.03102
"Under the Milky Way","The Long Wall > Summersville Lake (main) > Summersville Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918478/under-the-milky-way,3.9,-1,Sport,5.11d,1,70,38.24137,-80.84379
Aesthetica,"M) Fantasy Area > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106259865/aesthetica,3.9,-1,Sport,5.11c,1,80,38.05596,-81.05393
"Two Bag Face","3) Workmen's Buttress > Fern Buttress > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107129358/two-bag-face,3.9,-1,Trad,"5.9 R",1,80,38.06369,-81.06911
"Satisfaction Guaranteed","The Satisfaction Wall > Summersville Lake (main) > Summersville Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918469/satisfaction-guaranteed,3.8,-1,Sport,5.11-,1,65,38.24161,-80.8422
"Four Sheets to the Wind","Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105943666/four-sheets-to-the-wind,3.8,-1,Trad,5.9+,1,75,38.08299,-81.08043
"Scenic Adult","Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106461197/scenic-adult,3.8,-1,Sport,5.11c,1,95,38.05239,-81.07272
Disturbance,"4) Genocide Cave > Beauty Mountain > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106420023/disturbance,3.9,-1,Sport,5.11d,1,70,38.05372,-81.03333
"Burning Calves","5) Burning Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106001499/burning-calves,3.8,-1,Trad,5.10b,1,70,38.05238,-81.03324
"Party in My Mind","B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106039953/party-in-my-mind,3.8,-1,Trad,5.10b,1,90,38.05569,-81.06276
