Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Thoroughfare,"08: Two Pines Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105731057/thoroughfare,3.9,-1,"Trad, TR",5.11a,1,50,43.41367,-89.7134
"Upper Diagonal","05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730598/upper-diagonal,3.8,-1,"Trad, TR",5.9,1,,43.41359,-89.71252
Congratulations,"05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730472/congratulations,3.6,-1,"Trad, TR",5.10a,1,60,43.41359,-89.71252
Cheatah,"11: Bill's Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730808/cheatah,3.6,-1,"Trad, TR",5.10b,1,120,43.41366,-89.71414
"Dancing Madly Backwards","1. Old Sandstone > East Bluff 01 - Sandstone Area > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730235/dancing-madly-backwards,3.6,-1,"Trad, TR","5.10b PG13",1,,43.4137,-89.6863
"A Red Recollection","Qual Wall > Governor Dodge State Park > Wisconsin",https://www.mountainproject.com/route/105966708/a-red-recollection,3.5,-1,Sport,5.11a,1,60,43.0401,-90.1047
"Sometime Crack","05: Pedestal Buttress > East Bluff 04 - East Rampart > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730787/sometime-crack,3.5,-1,"Trad, TR",5.10a,1,50,43.41359,-89.71252
"Roger's Roof","7.3 - Horse Rampart > East Bluff 07 - Railroad Tracks > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105730391/rogers-roof,3.5,-1,"Trad, TR",5.8+,1,,43.41665,-89.72612
"Y-Crack (aka Old and in the Way)","Y-Crack Wall > Necedah (Petenwell Bluff) > Wisconsin",https://www.mountainproject.com/route/105731036/y-crack-aka-old-and-in-the-way,3.8,-1,"Trad, TR",5.10d,1,50,44.0442,-90.01955
"Mammalary Magic","1. Old Sandstone > East Bluff 01 - Sandstone Area > Devil's Lake > Wisconsin",https://www.mountainproject.com/route/105731030/mammalary-magic,3.5,-1,"Trad, TR","5.10a R",1,60,43.4137,-89.6863
