Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Northeast Face","Pingora > Cirque of the Towers > Wind River Range > Wyoming",https://www.mountainproject.com/route/105825209/northeast-face,3.8,-1,"Trad, Alpine",5.8+,12,1200,42.7789,-109.226
"El Matador","West Face > Devils Tower > Wyoming",https://www.mountainproject.com/route/105714944/el-matador,3.9,-1,Trad,5.10d,5,250,44.5904,-104.71681
"Black Elk","Warbonnet Peak > Cirque of the Towers > Wind River Range > Wyoming",https://www.mountainproject.com/route/106229037/black-elk,3.9,-1,"Trad, Alpine",5.11a,8,1000,42.76202,-109.216
"Irene's Arete","Disappointment Peak > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/105804852/irenes-arete,3.8,-1,"Trad, Alpine",5.8,7,,43.73345,-110.79302
Spectreman,"The Heap > Upper Blair > Blair (overview) > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105756373/spectreman,4.0,-1,Trad,5.11,1,70,41.19623,-105.38291
"One Way Sunset","West Face > Devils Tower > Wyoming",https://www.mountainproject.com/route/105715184/one-way-sunset,3.9,-1,Trad,5.10c,4,440,44.5904,-104.71681
"Walt Bailey","South and East Faces > Devils Tower > Wyoming",https://www.mountainproject.com/route/105715550/walt-bailey,3.9,-1,Trad,5.9,1,180,44.58992,-104.71549
"Cocaine Rodeo","Drugs and Sex > Valhalla > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106818981/cocaine-rodeo,3.8,-1,Sport,5.12a,1,105,44.13667,-107.25772
Munsterlander,"Hound Dog Crag > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107216187/munsterlander,3.9,-1,Sport,5.11c,1,85,44.10033,-107.28463
"Wind and Rattlesnakes","F. Rode Hard Wall > The Main Wall > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/105863211/wind-and-rattlesnakes,3.8,-1,Sport,5.12a,1,65,42.5845,-108.73338
"Hung Like a Horse","Reynolds Hill > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105754141/hung-like-a-horse,3.8,-1,Trad,5.11a,1,,41.17386,-105.35395
"Max Factor","Nautilus > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105751717/max-factor,3.8,-1,Trad,5.11c,2,,41.15478,-105.37467
"EKV: Exo-atmospheric Kill Vehicle","Slavery Wall > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105956405/ekv-exo-atmospheric-kill-vehicle,3.8,-1,Sport,5.12c,1,85,44.13247,-107.25718
"Belle Fourche Buttress","East and Northeast Buttress Approach > Devils Tower > Wyoming",https://www.mountainproject.com/route/105715499/belle-fourche-buttress,3.9,-1,Trad,5.10b,2,150,44.5911,-104.71442
"Choke Cherry Eyes","Cowboy King Wall > Aspen Glade > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/106811748/choke-cherry-eyes,3.8,-1,Sport,5.12a,1,70,42.5928,-108.7408
"Center El Shinto","Sector Shinto > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105856684/center-el-shinto,3.8,-1,Sport,5.12b,1,70,44.14653,-107.25807
Zorro,"Zorro Area > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/105841220/zorro,3.8,-1,Sport,5.11c,1,75,42.5797,-108.7168
"Assembly Line","East and Northeast Buttress Approach > Devils Tower > Wyoming",https://www.mountainproject.com/route/105715028/assembly-line,3.7,-1,Trad,5.9,2,140,44.5911,-104.71442
"Joy of Heresy","The Ark > Mecca > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106537631/joy-of-heresy,3.9,-1,Sport,5.11d,1,100,44.14068,-107.23295
"Happiness in Slavery","Slavery Wall > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105827047/happiness-in-slavery,3.7,-1,Sport,5.12b,1,80,44.13247,-107.25718
"Tribal War","2. Tribal War > 1. Left Side (Lunarscape, Tribal War, Poker-Face, Lone Pilgrim) > OK Corral > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/105841251/tribal-war,3.7,-1,Sport,5.11b,1,70,42.57488,-108.71721
"Circus in the Wind","Circus Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105856757/circus-in-the-wind,3.7,-1,Sport,5.11-,1,70,44.10072,-107.28884
"Flying Buttress","Nautilus > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105752740/flying-buttress,3.7,-1,Trad,5.10,1,100,41.15478,-105.37467
Soler,"South and East Faces > Devils Tower > Wyoming",https://www.mountainproject.com/route/105714830/soler,3.6,-1,Trad,5.9,2,280,44.58992,-104.71549
"Tulgey Wood","West Face > Devils Tower > Wyoming",https://www.mountainproject.com/route/105714953/tulgey-wood,3.7,-1,Trad,5.10a,3,300,44.5904,-104.71681
"The Snaz","Cathedral Buttress > Death Canyon > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/105802924/the-snaz,3.6,-1,"Trad, Alpine",5.10a,1,,43.66063,-110.82348
"Friday the 13th","Nautilus > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105751792/friday-the-13th,3.6,-1,Trad,5.10a/b,3,,41.15478,-105.37467
"McCarthy West Face (Variant)","West Face > Devils Tower > Wyoming",https://www.mountainproject.com/route/105715091/mccarthy-west-face-variant,3.7,-1,Trad,5.10b,2,300,44.5904,-104.71681
"Crazy Wynona","The Back Forty > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106231339/crazy-wynona,3.7,-1,Sport,5.11d,1,90,44.1485,-107.25814
"Big Bear Memorial","Hound Dog Crag > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107199072/big-bear-memorial,3.7,-1,Sport,5.10b,1,100,44.10033,-107.28463
"Killer Karma","Oblivion Roof > Valhalla > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105847550/killer-karma,3.7,-1,Sport,5.11d,1,85,44.13974,-107.25794
"Great White Behemoth","Superratic Pillar > Valhalla > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105956328/great-white-behemoth,3.6,-1,Sport,5.12b,1,90,44.14307,-107.25786
Mainstreet,"Coke Bottle > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105760059/mainstreet,3.6,-1,Trad,5.10a,1,120,41.16185,-105.37553
Beefeater,"Holdout > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105752245/beefeater,3.6,-1,Trad,5.10b,2,,41.15735,-105.37372
"Slightly Toasted Cracker","The Back Forty > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107199371/slightly-toasted-cracker,3.6,-1,Sport,5.11c,1,80,44.1485,-107.25814
"I Just Do Eyes","The Back Forty > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105855562/i-just-do-eyes,3.6,-1,Sport,5.11b,1,90,44.1485,-107.25814
"Bon Homme Variation","South and East Faces > Devils Tower > Wyoming",https://www.mountainproject.com/route/105714902/bon-homme-variation,3.5,-1,Trad,5.8,3,300,44.58992,-104.71549
"Middle Parallel Space","Nautilus > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105752155/middle-parallel-space,3.6,-1,Trad,5.9,2,,41.15478,-105.37467
"Climb and Punishment","Reynolds Hill > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105752524/climb-and-punishment,3.5,-1,Trad,5.9+,1,80,41.17386,-105.35395
"Hesitation Blues","Nautilus > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105752149/hesitation-blues,3.5,-1,Trad,5.11-,2,,41.15478,-105.37467
"Hanoi Hilton","Vietnam > Valhalla > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105844805/hanoi-hilton,3.6,-1,Sport,5.11d,1,75,44.13974,-107.25794
Intimidation,"Lower Blair III > Lower Blair I, II, III, and vicinity > Blair (overview) > Vedauwoo > Wyoming",https://www.mountainproject.com/route/106023889/intimidation,3.5,-1,Trad,5.9+,1,120,41.18961,-105.39001
"Captain Insano","World Domination > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106159245/captain-insano,3.7,-1,Sport,5.11d,1,100,44.13034,-107.2571
